300
NIKOSINA-PAKROJA 0:101
VAIOMINGA-HARBINA 104:83
KARMELITI-ZAMBIJA 104:97
MAFEKINGA-ABADANA 105:10
GVADELUPE-RAVENNA 105:102
VIDZEME-MALAIZIJA 105:103
ILMENIS-ASUNSJONA 105:112
NANKINA-VECBILSKA 105:12
VATERLO-MIROSLAVA 105:121
UPESCIEMS-ABADANA 105:123
BALTIMORA-ABAKANA 105:124
NEAPOLE-BAISOGALA 105:124
ASUNSJONA-ULBROKA 105:16
GAIGALAVA-ANGLIJA 105:17
KAZBEKS-VECRIKAVA 105:18
LATGALE-CARNIKAVA 105:25
TEBRIZA-MAZSALACA 105:25
LEIPCIGA-RUDAMINA 105:36
SUDETI-VLADIMMIRA 105:57
AUSTRIJA-TENESIJA 105:59
SALINIEKI-OREGONA 105:59
JAUNPILS-LUISVILA 105:67
KAJENNA-PORTSMUTA 105:71
KAMBIJA-KUDIMKARA 105:79
MAZSALACA-KVEBEKA 105:86
MAUNALOA-KRIEVIJA 105:87
MONGOLIJA-LONDONA 105:93
VIDUKLE-KOLGUJEVA 105:95
BAHREINA-BRAZILJA 105:97
BEREZINA-BRRONKSA 105:99
VAIOMINGA-BERGENA 106:1
SLOVAKIJA-GVINEJA 106:10
BALTIMORA-BOMBEJA 106:100
NUKUALOFA-SALVANA 106:103
VECBILSKA-OBELIJA 106:115
MIROSLAVA-ARKTIKA 106:118
POCIEMS-FUDZIJAMA 106:135
POLOCKA-TJANDZINA 106:137
MAZSALACA-BRUNEJA 106:140
OZOLNIEKI-MUKDENA 106:146
DEMOINA-KOLGUJEVA 106:147
SIESIKI-MIROSLAVA 106:149
EZERNIEKI-SEVILJA 106:18
UPESCIEMS-MAJORKA 106:18
TENESIJA-BEREZINA 106:19
HAVANNA-MALAIZIJA 106:21
NAHODKA-TJANDZINA 106:3
VILGALE-GVAJAKILA 106:30
BRATSKA-MONGOLIJA 106:34
SUDETI-HEISTINGSA 106:39
KARLAILA-ILINOISA 106:47
LIVORNA-MALAIZIJA 106:51
ALABAMA-VECRIKAVA 106:51
ARTJOMA-ARKANZASA 106:57
ARKTIKA-BAISOGALA 106:69
AMERIKA-KOLGUJEVA 106:7
MELNSILS-HIROSIMA 106:70
BRRONKSA-ETIOPIJA 106:77
ARMAVIRA-HIROSIMA 106:78
KOLGUJEVA-SAKSIJA 106:79
SERPUHOVA-JERSIKA 106:79
KIZILKUMS-DEMOINA 106:79
UPESCIEMS-FORMOZA 106:80
KENTUKIJA-BRUNEJA 106:88
TUNISIJA-FRANCIJA 106:91
VECRIKAVA-KAPSUKA 106:94
TUNISIJA-PIEVOLGA 106:94
BOBRUJSKA-BERGENA 106:96
ANGLIJA-GVAJAKILA 107:100
SALATI-MINUSINSKA 107:101
JAUNPILS-IGAUNIJA 107:102
RESIFI-VLADIMMIRA 107:111
SIDNEJA-VECRIKAVA 107:114
TOBRUKA-NOTINGEMA 107:117
BRATSKA-VECBILSKA 107:118
ASUNSJONA-TOTNEMA 107:119
FUDZIJAMA-MAJORKA 107:12
PALERMO-SERPUHOVA 107:127
BALTEZERS-HAVANNA 107:13
ZAMBEZI-GVATEMALA 107:130
KENTUKIJA-KANTONA 107:130
VECRIKAVA-JAMAIKA 107:131
PORTSMUTA-OREGONA 107:135
MELNSILS-MANHEIMA 107:143
OGRESGALS-NAHODKA 107:145
KALNCIEMS-HARTUMA 107:146
TENERIFE-KARLAILA 107:146
DAIVANA-MAZSALACA 107:146
UPESCIEMS-SIDNEJA 107:148
TENESIJA-ARMAVIRA 107:18
BURTNIEKI-KAMPALA 107:21
MEKSIKA-VECRIKAVA 107:22
MAUNALOA-UDMRTIJA 107:24
TELAVIVA-DOMINIKA 107:41
ARKANZASA-KORSIKA 107:56
VECRIKAVA-RUMBULA 107:56
GROZNIJA-BAHREINA 107:59
UZBEKIJA-ETIOPIJA 107:62
ROZALIMA-ILINOISA 107:63
TENESIJA-NIKOSINA 107:68
TOBRUKA-MIROSLAVA 107:75
LATGALE-VECBILSKA 107:75
RANGUNA-MAFEKINGA 107:76
ZEMGALE-KUDIMKARA 107:81
JAUNCIEMS-TOBRUKA 107:81
VAIOMINGA-KAMBIJA 107:85
GRUZIJA-ASUNSJONA 108:103
MAFEKINGA-KAMPALA 108:104
MANHEIMA-FRANCIJA 108:104
GVATEMALA-KORSIKA 108:107
MARVELE-SERPUHOVA 108:123
AUSTRIJA-UZBEKIJA 108:130
FUDZIJAMA-NIAMEJA 108:131
UGUNSZEME-KORSIKA 108:132
KUDIMKARA-TOTNEMA 108:135
MIRNIJA-KUDIMKARA 108:25
BAIREITA-BRRONKSA 108:34
USURIJSKA-KAJENNA 108:38
ADELAIDA-BRRONKSA 108:40
TURCIJA-MAFEKINGA 108:40
BOBRUJSKA-SIDNEJA 108:41
PASVALE-GAIGALAVA 108:46
TAHITI-ANTARKTIKA 108:48
TRIPOLE-MAFEKINGA 108:49
GVADELUPE-BRATSKA 108:5
JAMAIKA-MAFEKINGA 108:58
UPESCIEMS-SALIENA 108:59
HAUAIHE-BAISOGALA 108:6
LOZANNA-VECBILSKA 108:61
JAMAIKA-KUDIMKARA 108:62
PEDEDZE-CARNIKAVA 108:62
TENERIFE-ETIOPIJA 108:66
JAUNCIEMS-DAMASKA 108:70
ETIOPIJA-BAHREINA 108:71
LAPZEME-KUDIMKARA 108:77
DRUSTI-VLADIMMIRA 108:84
TAURAGNI-ARMAVIRA 108:93
BALTIMORA-GDANSKA 108:98
PLOVDIVA-BRAZILJA 109:1
VIDUKLE-MAZSALACA 109:106
SALONIKI-KRIMULDA 109:108
KENTUKIJA-SILMALA 109:110
OGRESGALS-TOTNEMA 109:112
BRUNEJA-TJANDZINA 109:117
SALONIKI-GROZNIJA 109:12
HARTUMA-NUKUALOFA 109:120
GDANSKA-ARKANZASA 109:124
ILMENIS-BALTIMORA 109:128
TENESI-MINUSINSKA 109:13
ZEMGALE-KENTUKIJA 109:13
TJANDZINA-KARTENA 109:136
ADELAIDA-NIKOSINA 109:139
BRISELE-MAZSALACA 109:18
ILMENIS-BAISOGALA 109:29
TOTNEMA-MALAIZIJA 109:37
OGRESGALS-LONDONA 109:4
KOLGUJEVA-ABADANA 109:4
CARNIKAVA-ARKTIKA 109:42
SALINIEKI-ALABAMA 109:6
GVADELUPE-ALABAMA 109:83
FUDZIJAMA-SAKSIJA 109:86
KUDIMKARA-LOZANNA 109:88
LAPZEME-VECRIKAVA 109:98
TOBRUKA-PORTSMUTA 11:1
KOLGUJEVA-TOBRUKA 11:111
HARBINA-GVAJAKILA 11:121
MALAIZIJA-TERMEZA 11:123
VAIOMINGA-OBELIJA 11:13
TELAVIVA-UZBEKIJA 11:138
BOMBEJA-PORTSMUTA 11:144
CARNIKAVA-MENORKA 11:16
SKOTIJA-MIROSLAVA 11:27
SLOVAKIJA-ULBROKA 11:33
OGRESGALS-NIAMEJA 11:35
VAIOMINGA-DAMASKA 11:36
NOTINGEMA-JERSIKA 11:37
MAZSALACA-ULBROKA 11:57
PLOVDIVA-PIEVOLGA 11:61
KAIBALA-MIROSLAVA 11:62
NIKOSINA-MANHEIMA 11:68
GDANSKA-MAFEKINGA 11:73
SLOVAKIJA-SILMALA 11:76
BURTNIEKI-PASIENA 11:76
JAUNPILS-MAUNALOA 11:77
TAHITI-VELINGTONA 11:9
JAUNCIEMS-BOSTONA 11:97
GVAJAKILA-BALTIJA 11:97
BRUKLINA-FRANCIJA 110:100
VIDAUJA-MIROSLAVA 110:111
VERSEKA-MONGOLIJA 110:114
ALABAMA-TJANDZINA 110:118
DUBLINA-BALTIMORA 110:119
KUDIMKARA-KAIBALA 110:120
BALTEZERS-ARIZONA 110:127
TOTNEMA-MAFEKINGA 110:128
GVATEMALA-JERSIKA 110:130
UGUNSZEME-PERLOJA 110:130
BALTIMORA-TEBRIZA 110:135
MAJORKA-MIROSLAVA 110:136
UKRAINA-SERPUHOVA 110:137
BALTIMORA-ARTJOMA 110:139
SALINIEKI-DAIVANA 110:14
GVAJAKILA-BRATSKA 110:141
HAVANNA-TJANDZINA 110:144
VIDAUJA-VECBILSKA 110:145
SALINIEKI-PAKROJA 110:147
GVADELUPE-TOTNEMA 110:148
OZOLNIEKI-MIRNIJA 110:16
MALAVI-VOLGOGRADA 110:20
JAUNCIEMS-ULBROKA 110:21
LUISVILA-HIROSIMA 110:25
KALNCIEMS-HAVANNA 110:30
TOMBUKA-NOTINGEMA 110:35
OZOLNIEKI-DAIVANA 110:37
MAFEKINGA-BALTIJA 110:40
BRAZILJA-TUNISIJA 110:44
MONGOLIJA-TOMBUKA 110:49
BURTNIEKI-DAIVANA 110:52
MONGOLIJA-LATVIJA 110:57
BARSELONA-KANTONA 110:66
KIZILKUMS-RAVENNA 110:71
NEAPOLE-GVATEMALA 110:72
VECBILSKA-VERDENA 110:83
TELAVIVA-TENESIJA 110:84
PORTSMUTA-SALVANA 110:85
SALONIKI-LEIPCIGA 110:86
KIGALI-VLADIMMIRA 110:99
RANGUNA-MIROSLAVA 111:0
BALTEZERS-CEILONA 111:0
VECBILSKA-ARKTIKA 111:109
MAZSALACA-LONDONA 111:11
TOTNEMA-NUKUALOFA 111:12
PANERI-SVAZILENDA 111:124
LUCERNA-FUDZIJAMA 111:125
HIROSIMA-IGNALINA 111:126
SAULAINE-BAHREINA 111:132
MIROSLAVA-MUKDENA 111:134
BOBRUJSKA-BOMBEJA 111:136
KUDIMKARA-DAMASKA 111:138
GRUZIJA-BOBRUJSKA 111:144
GVAJAKILA-DAMASKA 111:147
KALNCIEMS-KANTONA 111:149
PEDEDZE-FUDZIJAMA 111:19
KARMELITI-LATVIJA 111:22
VAIOMINGA-KORSIKA 111:27
VAIOMINGA-DURBANA 111:34
MANHEIMA-LUISVILA 111:39
TAURAGNI-BEREZINA 111:4
LATGALE-SERPUHOVA 111:51
VECRIKAVA-ZAMBIJA 111:57
VECBILSKA-KARTENA 111:58
EZERNIEKI-SALIENA 111:69
LATGALE-VAIOMINGA 111:7
SAIGONA-GVATEMALA 111:71
NUKUALOFA-KAMPALA 111:76
PITRAGS-BOBRUJSKA 111:80
INDRAJI-BAISOGALA 111:83
BURTNIEKI-HARBINA 111:96
GVINEJA-MONGOLIJA 111:98
LEIPCIGA-HIROSIMA 112:0
NAHODKA-BAISOGALA 112:102
KARTENA-GVATEMALA 112:103
ILINOISA-FRANCIJA 112:105
UKRAINA-KOLGUJEVA 112:107
MIRNIJA-BALTIMORA 112:11
PAKROJA-BAISOGALA 112:115
FUDZIJAMA-TOMBUKA 112:117
SALIENA-MIROSLAVA 112:117
SALATI-HEISTINGSA 112:124
GAIGALAVA-DUBLINA 112:134
MAUNALOA-PIEVOLGA 112:139
VECRIKAVA-BRUNEJA 112:14
PANERI-ANTARKTIKA 112:141
SERPUHOVA-RANGUNA 112:18
MENORKA-NUKUALOFA 112:20
GROZNIJA-DOMINIKA 112:21
KARMELITI-DURBANA 112:21
KANTONA-ARKANZASA 112:27
FUDZIJAMA-ABADANA 112:27
OZOLNIEKI-KANTONA 112:31
GROZNIJA-BRUKLINA 112:40
ASUNSJONA-ARIZONA 112:43
KENTUKIJA-HUDZONA 112:45
JAKUTIJA-BAIREITA 112:45
TAIVANA-SLOVAKIJA 112:54
DURBANA-MALAIZIJA 112:55
SERPUHOVA-GDANSKA 112:55
SALINIEKI-TEBRIZA 112:60
KIZILKUMS-VERDENA 112:63
PASIENA-VAIOMINGA 112:64
ASUNSJONA-POLOCKA 112:66
AIZVOLGA-KRIMULDA 112:69
USURIJSKA-CEILONA 112:78
SAULAINE-PLOVDIVA 112:8
GVADELUPE-NAHODKA 112:88
SALONIKI-KARLAILA 112:9
BALTIMORA-SEVILJA 112:97
KATOVICE-KRIMULDA 112:99
VAIOMINGA-FORMOZA 112:99
NOTINGEMA-ULBROKA 113:1
JAUNCIEMS-RAVENNA 113:105
BRAZILJA-BRRONKSA 113:110
EZERNIEKI-KAMPALA 113:119
EZERNIEKI-TERMEZA 113:125
AIZVOLGA-IGAUNIJA 113:131
MUKDENA-MONGOLIJA 113:133
SALINIEKI-POLOCKA 113:138
RODOPI-SANTAKRUSA 113:138
KORSIKA-MAFEKINGA 113:15
SALINIEKI-HARBINA 113:16
GVATEMALA-SAKSIJA 113:22
ABADANA-BAISOGALA 113:23
MEKSIKA-MAFEKINGA 113:23
JAMAIKA-PORTSMUTA 113:3
BOSTONA-VECRIKAVA 113:36
LUISVILA-FRANCIJA 113:50
JAUNCIEMS-DURBANA 113:52
MALAIZIJA-HUDZONA 113:54
MARVELE-GVAJAKILA 113:65
TAURAGNI-GROZNIJA 113:69
PORTSMUTA-ROSTOKA 113:7
UPESCIEMS-KAIBALA 113:74
KARMELITI-KORSIKA 113:82
ARTJOMA-NUKUALOFA 113:85
OGRESGALS-KARTENA 113:98
PERLOJA-SLOVAKIJA 113:99
VECBILSKA-POLOCKA 113:99
MONGOLIJA-HAVANNA 114:103
LONDONA-VECRIKAVA 114:110
ANGLIJA-SLOVAKIJA 114:120
KAMBIJA-BOBRUJSKA 114:124
SALVANA-BOBRUJSKA 114:125
JAUNPILS-IGNALINA 114:132
KRIEVIJA-HIROSIMA 114:139
OZOLNIEKI-ZAMBIJA 114:150
MELNSILS-TUNISIJA 114:21
TOMBUKA-USURIJSKA 114:22
JAUNCIEMS-ALABAMA 114:22
BRRONKSA-VIETALVA 114:24
NIKOSINA-LUISVILA 114:30
NIAMEJA-PORTSMUTA 114:31
KARMELITI-LONDONA 114:40
VIDZEME-BAISOGALA 114:5
SLOVAKIJA-BERGENA 114:51
MENORKA-MIROSLAVA 114:61
VECBILSKA-TEBRIZA 114:62
PALERMO-KOLGUJEVA 114:72
KUDIMKARA-BRATSKA 114:87
BENGAZI-KOLGUJEVA 114:99
ARKANZASA-KARTENA 115:1
SEIRIJI-USURIJSKA 115:103
PORTSMUTA-RUMBULA 115:108
PEDEDZE-VECBILSKA 115:11
KVEBEKA-BAISOGALA 115:113
RUMBULA-VAIOMINGA 115:114
LEIPCIGA-PIEVOLGA 115:118
LILONGVE-BRUKLINA 115:121
GVADELUPE-SKOTIJA 115:127
KATOVICE-RUDAMINA 115:131
SEVERNA-ARKANZASA 115:132
SEIRIJI-BAISOGALA 115:140
GVATEMALA-ANGLIJA 115:146
BALTIMORA-LONDONA 115:147
TUNISIJA-TELAVIVA 115:17
KAIBALA-GAIGALAVA 115:20
KAPZEME-GVAJAKILA 115:21
PLOVDIVA-LEIPCIGA 115:26
TALLINA-BALTIMORA 115:31
SILMALA-TJANDZINA 115:31
SAFOLKA-PORTSMUTA 115:36
SIESIKI-ASUNSJONA 115:38
HIROSIMA-DOMINIKA 115:38
BURTNIEKI-MAJORKA 115:41
VAIOMINGA-POLOCKA 115:5
SIESIKI-USURIJSKA 115:60
NIKOSINA-AUSTRIJA 115:61
KOLGUJEVA-POLOCKA 115:61
HARTUMA-PORTSMUTA 115:65
ARIZONA-FUDZIJAMA 115:66
LUCERNA-GVAJAKILA 115:71
MAFEKINGA-AMERIKA 115:72
JAUNCIEMS-BALTIJA 115:74
CARNIKAVA-DUBLINA 115:77
BENGAZI-MAFEKINGA 115:80
ANGLIJA-VECRIKAVA 115:85
PORTSMUTA-KVEBEKA 115:89
LEIPCIGA-BRUKLINA 115:9
TOTNEMA-KOLGUJEVA 115:9
SAIGONA-NOTINGEMA 115:92
TJANDZINA-MEKSIKA 115:94
SILMALA-PORTSMUTA 116:103
SEIRIJI-ARKANZASA 116:103
KENTUKIJA-ZAMBIJA 116:105
BURTNIEKI-MIRNIJA 116:106
SIDNEJA-BALTIMORA 116:117
AUSTRIJA-BRRONKSA 116:119
SKOTIJA-CARNIKAVA 116:12
ABADANA-BALTIMORA 116:12
EZERNIEKI-ARTJOMA 116:126
LONDONA-MIROSLAVA 116:133
ALABAMA-FUDZIJAMA 116:134
PENKULE-MAFEKINGA 116:14
SAULAINE-IGAUNIJA 116:142
TOTNEMA-FUDZIJAMA 116:145
MILVOKI-MALAIZIJA 116:146
SERBIJA-KENTUKIJA 116:15
PITRAGS-CARNIKAVA 116:17
SALVANA-MAZSALACA 116:18
KUDIMKARA-HAVANNA 116:21
FRANCIJA-LEIPCIGA 116:38
ABAKANA-GVAJAKILA 116:4
SALINIEKI-MEKSIKA 116:41
BAIREITA-IGAUNIJA 116:51
HARTUMA-MAZSALACA 116:58
GVATEMALA-HAVANNA 116:59
MISISIPI-UDMRTIJA 116:63
ROSTOKA-KOLGUJEVA 116:69
ARTJOMA-VECRIKAVA 116:71
MAUNALOA-ADELAIDA 116:75
GROZNIJA-KRIMULDA 116:78
RANGUNA-NOTINGEMA 116:80
FRANCIJA-BAIREITA 116:81
PENKULE-NUKUALOFA 116:83
KOLGUJEVA-KAMBIJA 116:85
ISIKULS-BALTIMORA 116:86
SERBIJA-FUDZIJAMA 116:88
LIVORNA-BALTIMORA 116:88
KOLGUJEVA-RUMBULA 116:92
MAUNALOA-PLOVDIVA 116:96
HAUAIHE-TJANDZINA 116:96
ARKANZASA-KAIBALA 116:98
MAUNALOA-JAKUTIJA 117:100
LEIPCIGA-MAUNALOA 117:104
CARNIKAVA-SAIGONA 117:106
KRIEVIJA-GROZNIJA 117:108
VECBILSKA-OREGONA 117:115
INDRAJI-SERPUHOVA 117:115
TENESIJA-LUISVILA 117:118
UGUNSZEME-NIAMEJA 117:118
DAMASKA-BALTIMORA 117:120
TAHITI-GOTVALDOVA 117:123
UPESCIEMS-CEILONA 117:13
NUKUALOFA-KANTONA 117:137
BARSELONA-GAMBIJA 117:137
KOLGUJEVA-HAVANNA 117:139
DEMOINA-MAZSALACA 117:141
OGRESGALS-KORSIKA 117:146
BARSELONA-SAKSIJA 117:15
OZOLAINE-KARLAILA 117:16
NEAPOLE-VAIOMINGA 117:16
KENTUKIJA-SEVILJA 117:17
ASUNSJONA-HAVANNA 117:25
VECRIKAVA-SEVERNA 117:25
PASVALE-MONGOLIJA 117:26
KUDIMKARA-PERLOJA 117:28
CEILONA-ARKANZASA 117:30
ORINOKO-MAZSALACA 117:32
DURBANA-KENTUKIJA 117:34
ARTJOMA-KENTUKIJA 117:37
MILVOKI-KUDIMKARA 117:42
BRRONKSA-MAUNALOA 117:44
SALINIEKI-DUBLINA 117:49
RAGACIEMS-TOBRUKA 117:55
GVADELUPE-SAIGONA 117:60
GVAJAKILA-TURCIJA 117:67
GVAJAKILA-VERDENA 117:73
PORTSMUTA-ARKTIKA 117:78
NIKOSINA-ETIOPIJA 117:81
RUMBULA-ARKANZASA 117:84
FUDZIJAMA-POLOCKA 117:88
SKOTIJA-GVATEMALA 117:9
NUKUALOFA-GAMBIJA 117:97
NAHODKA-FUDZIJAMA 118:104
OGRESGALS-SALVANA 118:114
KIZILKUMS-TURCIJA 118:128
VERSEKA-GAIGALAVA 118:130
MAJAMI-VOLGOGRADA 118:145
JAKUTIJA-UZBEKIJA 118:146
TUNISIJA-KRIEVIJA 118:16
EZERNIEKI-SEVERNA 118:20
NEAPOLE-BALTIMORA 118:27
BAISOGALA-BERGENA 118:35
KURZEME-BOBRUJSKA 118:39
LEIPCIGA-ROZALIMA 118:40
OREGONA-KUDIMKARA 118:42
OGRESGALS-LOZANNA 118:43
KRIEVIJA-TELAVIVA 118:43
BALTEZERS-SAFOLKA 118:43
LIVORNA-MAFEKINGA 118:44
FUDZIJAMA-ABAKANA 118:49
GAIGALAVA-SEVILJA 118:5
KALNCIEMS-ABAKANA 118:50
SKOTIJA-MAFEKINGA 118:70
MIROSLAVA-VERDENA 118:71
VAIOMINGA-DEMOINA 118:74
NOTINGEMA-DAIVANA 118:77
MAZSALACA-DUBLINA 118:82
UGUNSZEME-KARTENA 118:86
ROZALIMA-MAUNALOA 118:91
UGUNSZEME-JERSIKA 118:95
OBELIJA-KOLGUJEVA 118:97
VECRIKAVA-NAHODKA 118:98
DOMINIKA-UZBEKIJA 119:102
ADELAIDA-TENESIJA 119:105
DAMASKA-KENTUKIJA 119:108
KANTONA-MIROSLAVA 119:110
ARMAVIRA-LUISVILA 119:111
KOLGUJEVA-LUCERNA 119:122
GROZNIJA-TELAVIVA 119:126
KIZILKUMS-GORKIJA 119:135
CARNIKAVA-HARBINA 119:138
BENGAZI-PORTSMUTA 119:140
METELIS-USURIJSKA 119:142
OBELIJA-SLOVAKIJA 119:147
MANHEIMA-ADELAIDA 119:150
KANTONA-CARNIKAVA 119:18
BALTIMORA-PASIENA 119:19
JAUNCIEMS-MUKDENA 119:22
KUDIMKARA-BALTIJA 119:25
TENERIFE-UZBEKIJA 119:29
KORSIKA-MALAIZIJA 119:31
NOTINGEMA-HARTUMA 119:31
BALTIJA-MALAIZIJA 119:37
PAKROJA-VAIOMINGA 119:40
HARTUMA-SLOVAKIJA 119:48
LUISVILA-KARLAILA 119:6
DOMINIKA-DETROITA 119:64
MANHEIMA-BAHREINA 119:71
KIZILKUMS-OBELIJA 119:76
MIROSLAVA-POLOCKA 119:79
SILMALA-MIROSLAVA 119:81
BURTNIEKI-KVEBEKA 119:85
ORINOKO-SERPUHOVA 119:88
GVINEJA-MIROSLAVA 119:88
UPESCIEMS-BRATSKA 119:95
EZERNIEKI-NAHODKA 12:101
MAZSALACA-GRUZIJA 12:114
KAMAJI-MISISIPIJA 12:115
RAGACIEMS-SEVILJA 12:115
TUNISIJA-PLOVDIVA 12:124
GVAJAKILA-TAIVANA 12:128
MONGOLIJA-KAIBALA 12:131
KURZEME-SERPUHOVA 12:131
MAFEKINGA-CEILONA 12:140
MANHEIMA-BRRONKSA 12:142
BOBRUJSKA-KAIBALA 12:147
BOBRUJSKA-TEBRIZA 12:18
RUMBULA-USURIJSKA 12:20
LEIPCIGA-ARMAVIRA 12:23
KARMELITI-TURCIJA 12:24
BEREZINA-HIROSIMA 12:3
BRUKLINA-TUNISIJA 12:34
RODOPI-VLADIMMIRA 12:36
MAZSALACA-ZAMBIJA 12:37
BRATSKA-BAISOGALA 12:40
BOBRUJSKA-MEKSIKA 12:42
DETROITA-ARMAVIRA 12:42
SLOVAKIJA-SAKSIJA 12:44
PALERMO-MONGOLIJA 12:47
DETROITA-GROZNIJA 12:50
MISISIPI-MANHEIMA 12:50
AUSTRIJA-IGNALINA 12:55
OREGONA-NUKUALOFA 12:63
TRIPOLE-TJANDZINA 12:76
KAZBEKS-CARNIKAVA 12:82
SEVILJA-NOTINGEMA 12:92
GVATEMALA-PASIENA 120:100
ZAMBIJA-KUDIMKARA 120:105
SAIGONA-MIROSLAVA 120:106
ORINOKO-GAIGALAVA 120:109
LOZANNA-TJANDZINA 120:11
ROZALIMA-GROZNIJA 120:132
VIETALVA-NIKOSINA 120:145
GAIGALAVA-TOBRUKA 120:149
MAZSALACA-ROSTOKA 120:16
ABAKANA-VECBILSKA 120:16
BALTEZERS-KAJENNA 120:22
HUDZONA-MIROSLAVA 120:29
VAIOMINGA-AMERIKA 120:32
ASUNSJONA-DURBANA 120:36
EZERNIEKI-AMERIKA 120:37
MORONI-VOLGOGRADA 120:38
GDANSKA-GAIGALAVA 120:45
VERSEKA-VAIOMINGA 120:51
ASALNI-RODAILENDA 120:52
KOLGUJEVA-TAIVANA 120:53
KAPZEME-KOLGUJEVA 120:57
ASUNSJONA-BALTIJA 120:60
DAMASKA-VECBILSKA 120:68
BRATSKA-GAIGALAVA 120:70
NOTINGEMA-AMERIKA 120:72
GVADELUPE-BERGENA 120:72
HARTUMA-BOBRUJSKA 120:75
RAGACIEMS-HUDZONA 120:76
BARSELONA-RANGUNA 120:83
BRUNEJA-SLOVAKIJA 120:86
KIGALI-VELINGTONA 120:97
KARMELITI-ARKTIKA 121:100
UPESCIEMS-KAMBIJA 121:101
PLOVDIVA-IGAUNIJA 121:113
SALINIEKI-TOBRUKA 121:117
MISISIPI-ROZALIMA 121:119
BARSELONA-TOMBUKA 121:119
VECBILSKA-BOMBEJA 121:122
LIVORNA-VECBILSKA 121:122
UGUNSZEME-GVINEJA 121:122
RAGACIEMS-NANKINA 121:129
GVAJAKILA-KVEBEKA 121:130
ARKANZASA-MAJORKA 121:139
LUCERNA-USURIJSKA 121:139
BARSELONA-DEMOINA 121:144
GVATEMALA-HARTUMA 121:17
KAMPALA-BAISOGALA 121:24
ARTJOMA-NOTINGEMA 121:32
RIONEGRO-VIETALVA 121:43
BAISOGALA-LIVORNA 121:5
MAJORKA-GVAJAKILA 121:65
TENERIFE-DETROITA 121:75
GROZNIJA-AIZVOLGA 121:80
ABAKANA-GVATEMALA 121:82
OGRESGALS-LATVIJA 121:86
BAIREITA-DOMINIKA 121:86
KARMELITI-UKRAINA 121:88
GVATEMALA-BALTIJA 121:91
BAIREITA-LEIPCIGA 121:97
UPESCIEMS-SAFOLKA 122:0
PAKROJA-GAIGALAVA 122:101
TRIPOLE-USURIJSKA 122:103
KAPSUKA-SLOVAKIJA 122:104
SEIRIJI-BARSELONA 122:105
LIVORNA-KUDIMKARA 122:107
MALAIZIJA-ABADANA 122:111
PIEVOLGA-ILINOISA 122:113
BRUKLINA-TELAVIVA 122:114
UKRAINA-CARNIKAVA 122:118
JANDZI-KASABLANKA 122:12
TOTNEMA-BALTIMORA 122:123
VERSEKA-CARNIKAVA 122:132
ABADANA-MONGOLIJA 122:136
PAROGLE-VECBILSKA 122:146
OGRESGALS-KAMBIJA 122:147
BIKINI-SAMARKANDA 122:15
ARKANZASA-ARKTIKA 122:150
KIGALI-RODAILENDA 122:30
AMERIKA-CARNIKAVA 122:30
VIDUKLE-NUKUALOFA 122:35
OGRESGALS-KAJENNA 122:4
MAUNALOA-RUDAMINA 122:46
MAUNALOA-ILINOISA 122:57
LILONGVE-MAUNALOA 122:57
DURBANA-SLOVAKIJA 122:61
MARVELE-BAISOGALA 122:62
KENTUKIJA-RUMBULA 122:63
PLOVDIVA-DOMINIKA 122:66
VIDZEME-NOTINGEMA 122:7
PASVALE-CARNIKAVA 122:70
KVEBEKA-KOLGUJEVA 122:78
CARNIKAVA-DEMOINA 122:79
VECBILSKA-PERLOJA 122:85
KALNCIEMS-JERSIKA 123:10
KUDIMKARA-TOMBUKA 123:102
HARBINA-MAFEKINGA 123:104
VILGALE-MONGOLIJA 123:106
TJANDZINA-LONDONA 123:108
KORSIKA-KOLGUJEVA 123:113
KENTUKIJA-PERLOJA 123:114
KARMELITI-SEVILJA 123:117
VAIOMINGA-LATVIJA 123:118
TJANDZINA-ARKTIKA 123:127
OREGONA-BALTIMORA 123:142
EZERNIEKI-KAPSUKA 123:143
SIDNEJA-KENTUKIJA 123:144
BALTIMORA-TURCIJA 123:25
KVEBEKA-BARSELONA 123:29
ARTJOMA-VAIOMINGA 123:30
GROZNIJA-ARMAVIRA 123:31
BALTIJA-SERPUHOVA 123:45
KAMPALA-BALTIMORA 123:48
GVAJAKILA-LIVORNA 123:49
LONDONA-BARSELONA 123:6
POCIEMS-NOTINGEMA 123:64
MONGOLIJA-VIDAUJA 123:65
GAIGALAVA-KORSIKA 123:67
OREGONA-ASUNSJONA 123:73
CEILONA-BAISOGALA 123:86
MAFEKINGA-HARTUMA 124:101
KIZILKUMS-MUKDENA 124:104
SERPUHOVA-MIRNIJA 124:109
NANKINA-PORTSMUTA 124:112
UZBEKIJA-BEREZINA 124:116
TEBRIZA-TJANDZINA 124:129
KATOVICE-UDMRTIJA 124:132
SERPUHOVA-NANKINA 124:132
KALNCIEMS-GRUZIJA 124:137
AUSTRIJA-KARLAILA 124:139
BAISOGALA-DAMASKA 124:143
JAMAIKA-ASUNSJONA 124:148
BOBRUJSKA-GVINEJA 124:17
GVADELUPE-MAJORKA 124:20
KARMELITI-BRUNEJA 124:26
LATGALE-VECRIKAVA 124:37
MAFEKINGA-MENORKA 124:43
MAZSALACA-SAKSIJA 124:47
VECBILSKA-TOMBUKA 124:53
MAJORKA-SLOVAKIJA 124:54
