300
BANDARSERIBEGAVA-AIZKARPATI 89:123
ELBRUSS-KALIFORNIJA 40:119
BALTKRIEVIJA-KAMPIS 120:40
KOSTARIKA-PRETORIJA 40:125
KALIFORNIJA-DONBASS 52:40
KALABRIJA-PORTOVANA 74:40
INESIS-BALTKRIEVIJA 40:76
LECKAVA-KESONSITIJA 40:80
EIPATORIJA-MINESOTA 50:41
JAKUTSKA-KATALONIJA 41:50
MACESTA-KESONSITIJA 41:57
GALGAUSKA-KALVARIJA 41:75
CIECERE-KALIFORNIJA 41:85
BALTKRIEVIJA-TUKUMS 87:41
KESONSITIJA-TRIESTE 92:41
FLANDRIJA-DORTMUNDA 106:42
BRAZAVILA-VALENSIJA 42:125
LOMBARDIJA-INSBURGA 133:42
KALIFORNIJA-KUMPOTE 145:42
EIPATORIJA-SARAGOSA 82:42
EIPATORIJA-NEBRASKA 82:42
KALIFORNIJA-BENDERI 88:42
PATAGONIJA-KRAKATAU 99:42
FLANDRIJA-PARAGVAJA 99:42
FLANDRIJA-VALENSIJA 113:43
BALTKRIEVIJA-NUKUSU 113:43
AUGSBURGA-KALABRIJA 43:123
EIPATORIJA-VECSAULE 129:43
FEODOSIJA-GALGAUSKA 148:43
VERAKRUSA-KALVARIJA 43:50
LIBREVILA-VALENSIJA 43:59
PRETORIJA-ORENBURGA 69:43
PRETORIJA-LUCAVSALA 71:43
REDRIVERA-FLANDRIJA 43:71
SOMERSETA-VIKTORIJA 43:91
FLANDRIJA-SENTLUISA 100:44
KESONSITIJA-TORONTO 110:44
KALIFORNIJA-ROSTOVA 118:44
TOLJATI-KESONSITIJA 44:46
HANNOVERE-PRETORIJA 44:59
FEODOSIJA-PARAGVAJA 63:44
ALEKSOTA-PATAGONIJA 44:83
HANNOVERE-SINSITIJA 44:84
KARPATI-KALIFORNIJA 44:88
KUVEITA-KESONSITIJA 45:107
KUPRAVA-KESONSITIJA 45:131
MONROVIJA-VIKTORIJA 45:140
PRETORIJA-VALENSIJA 141:45
EIPATORIJA-INSBURGA 143:45
LOMBARDIJA-SANPAULU 146:45
LOMBARDIJA-HAMBURGA 148:45
PATAGONIJA-SINTAUTI 46:45
HOLIVUDA-PATAGONIJA 45:48
DINKERSA-KATALONIJA 45:75
FEODOSIJA-SINSITIJA 82:45
HONOLULU-EIPATORIJA 45:83
EIPATORIJA-STAMBULA 105:46
HAMILTONA-FLANDRIJA 46:109
FLANDRIJA-KALVARIJA 46:132
ESENTUKI-KATALONIJA 46:134
KESONSITIJA-KAUNATA 77:46
JURBARKA-LOMBARDIJA 46:90
LOMBARDIJA-KRAKATAU 100:47
PATAGONIJA-MINESOTA 119:47
KINGSTONA-SINSITIJA 47:141
BALTKRIEVIJA-PAMIRS 76:47
EIPATORIJA-MELBURNA 80:47
MALJORKA-LOMBARDIJA 47:92
SIESARTE-LOMBARDIJA 48:105
VIKTORIJA-KALABRIJA 48:139
VIKTORIJA-SKAUDVILE 140:48
KOSTARIKA-FLANDRIJA 48:60
KATALONIJA-JURBARKA 76:48
KALIFORNIJA-SUMATRA 78:48
PRIEKULE-LOMBARDIJA 49:119
SINSITIJA-KALABRIJA 49:131
KESONSITIJA-PEIPUSS 137:49
ZVIEDRIJA-GALGAUSKA 66:49
KALABRIJA-EDINBURGA 68:49
KALVARIJA-VIKTORIJA 112:5
SOMERSETA-PRETORIJA 5:14
ORENBURGA-FLANDRIJA 5:141
AUGSBURGA-SINSITIJA 5:15
KALIFORNIJA-GURJEVA 32:5
SINSITIJA-REDRIVERA 34:5
DORSETA-KESONSITIJA 5:35
KALIFORNIJA-MANAUSA 46:5
PRETORIJA-PORTOVANA 77:5
KALIFORNIJA-TAURUPE 87:5
KALVARIJA-SKAUDVILE 99:5
OLIMPS-KENTERBERIJA 50:134
KZILORDA-PATAGONIJA 50:142
EIPATORIJA-JURBARKA 72:50
PRETORIJA-TAGANROGA 87:50
ZALCBURGA-ZVIEDRIJA 50:88
ORENBURGA-SINSITIJA 50:95
BELOSTOKA-PRETORIJA 51:121
KANZASSITIJA-MAPUTU 130:51
FOLKSTONA-FEODOSIJA 51:133
ZVIEDRIJA-PORTOVANA 136:51
EIPATORIJA-PANEMUNE 148:51
EIPATORIJA-HOLIVUDA 83:51
ANGARSKA-PATAGONIJA 51:96
BRJANSKA-EIPATORIJA 52:121
FEODOSIJA-KALABRIJA 52:131
PEREKOPS-PATAGONIJA 52:132
SINSITIJA-VIKTORIJA 52:144
SIRDARJA-EIPATORIJA 52:148
KALABRIJA-TAGANROGA 59:52
KULAUTUVA-KALABRIJA 52:73
VERAKRUSA-ZVIEDRIJA 52:74
KALABRIJA-ORENBURGA 99:52
BORNMUTA-LOMBARDIJA 52:99
BARTUVA-KALIFORNIJA 53:123
INSBRUKA-PATAGONIJA 53:144
SENTLUISA-ZVIEDRIJA 53:70
DENKERKA-KATALONIJA 53:90
KENTERBERIJA-SALDUS 92:53
KULAUTUVA-FLANDRIJA 53:93
LOMBARDIJA-ZLATOUSA 97:53
BARNAULA-KATALONIJA 54:114
KEMEROVA-KATALONIJA 54:120
KENTERBERIJA-TUKUMS 122:54
ZVIEDRIJA-PRETORIJA 54:123
RUSTAVI-KESONSITIJA 54:137
MAPUTU-KENTERBERIJA 54:65
KALIFORNIJA-KRAKOVA 73:54
KALVARIJA-ORENBURGA 79:54
KALIFORNIJA-ANADIRA 82:54
EIPATORIJA-ESENTUKI 57:55
KALIFORNIJA-MADEIRA 77:55
SENTLUISA-PRETORIJA 55:85
SINSITIJA-FLANDRIJA 56:103
RAISKUMS-LOMBARDIJA 56:111
PIEDRUJA-KATALONIJA 56:119
VALENSIJA-BELOSTOKA 127:56
MORICSALA-ZVIEDRIJA 56:59
JELGAVA-KALIFORNIJA 57:106
GALGAUSKA-SINSITIJA 57:114
FLANDRIJA-EDINBURGA 115:57
VALENSIJA-KALABRIJA 57:137
HOLIVUDA-KATALONIJA 57:147
KATALONIJA-VAGADUGU 88:57
KESONSITIJA-BARTUVA 108:58
KATALONIJA-LABANOVA 135:58
MORICSALA-FLANDRIJA 58:75
ANGARSKA-EIPATORIJA 58:90
KAHOVSKA-KATALONIJA 58:90
PORTORIKO-VIKTORIJA 58:94
VIKTORIJA-ZALCBURGA 110:59
KALABRIJA-HANNOVERE 113:59
PATAGONIJA-SOVETSKA 138:59
MALJORKA-KATALONIJA 59:149
LOMBARDIJA-ESENTUKI 74:59
KALVARIJA-BELOSTOKA 102:6
GALGAUSKA-FLANDRIJA 6:103
PANEMUNE-PATAGONIJA 6:107
BELOSTOKA-VIKTORIJA 6:115
KALIFORNIJA-ARARATS 132:6
ZVIEDRIJA-KINGSTONA 134:6
AMUDARJA-KATALONIJA 6:67
KALVARIJA-MANHATANA 83:6
HANNOVERE-KALVARIJA 6:88
MELBURNA-PATAGONIJA 6:90
VIKTORIJA-AUGSBURGA 96:6
USUMBURA-KATALONIJA 60:101
ALAUKSTS-KATALONIJA 60:110
VALENSIJA-PARAGVAJA 131:61
FLANDRIJA-LUCAVSALA 135:61
LOMBARDIJA-BELFASTA 142:61
PATAGONIJA-KIROVSKA 101:62
FLANDRIJA-DORTMUNDE 109:62
KARAKUMS-KATALONIJA 62:110
KAHOVSKA-PATAGONIJA 62:111
AMUDARJA-LOMBARDIJA 62:119
ZVIEDRIJA-BRAZAVILA 149:62
KATALONIJA-ALEKSOTA 63:62
ZVIEDRIJA-REDRIVERA 72:62
PRETORIJA-FLANDRIJA 99:62
KORDOVA-KALIFORNIJA 63:107
KALABRIJA-DORTMUNDE 111:63
KALIFORNIJA-KANBERA 133:63
KALIFORNIJA-EIFRATA 134:63
VALENSIJA-FEODOSIJA 63:136
BALTKRIEVIJA-ELTONS 148:63
LOMBARDIJA-PIEDRUJA 149:63
BELOSTOKA-FLANDRIJA 63:83
ZVIEDRIJA-DORTMUNDE 85:63
PATAGONIJA-KARAKUMS 86:63
PRETORIJA-DORTMUNDE 90:63
KINGSTONA-VALENSIJA 64:108
REDRIVERA-VIKTORIJA 64:116
KALABRIJA-FOLRIVERA 127:64
KEMEROVA-EIPATORIJA 64:150
PARAGVAJA-KALVARIJA 64:85
USUMBURA-PATAGONIJA 64:87
ZVIEDRIJA-DORTMUNDA 90:64
FOLKSTONA-KALVARIJA 64:99
TAIMIRA-KALIFORNIJA 65:109
POLTAVA-KALIFORNIJA 65:120
KOVROVA-KESONSITIJA 65:122
LOMBARDIJA-DENKERKA 124:65
KALABRIJA-VERAKRUSA 138:65
FEODOSIJA-PORTOVANA 70:65
KALKUTA-KALIFORNIJA 65:72
HAMILTONA-VIKTORIJA 65:74
DENKERKA-EIPATORIJA 65:78
ZVIEDRIJA-BELGORODA 80:65
SARANSKA-LOMBARDIJA 65:90
KALIFORNIJA-DEMBAVA 115:67
KATALONIJA-INSBRUKA 130:67
KALABRIJA-LUCAVSALA 132:67
OLSTERA-KALIFORNIJA 67:132
ZVIEDRIJA-FOLRIVERA 145:67
TAGANROGA-FLANDRIJA 67:150
SEVANS-BALTKRIEVIJA 67:68
KALIFORNIJA-OSTRAVA 76:67
KALIFORNIJA-MELNUPE 83:67
SINSITIJA-FOLKSTONA 89:67
TAUNUSA-KALIFORNIJA 67:96
KATALONIJA-RAISKUMS 142:68
PATAGONIJA-MALJORKA 90:68
PRETORIJA-PITSBURGA 96:68
VALLETA-KALIFORNIJA 69:141
EVERESTS-PATAGONIJA 69:143
NOVGORODA-PRETORIJA 69:91
BELGORODA-PRETORIJA 69:92
EIPATORIJA-VADAKSTE 110:7
ZLATOUSA-EIPATORIJA 7:43
PRETORIJA-ZALCBURGA 43:7
ATLANTA-KESONSITIJA 7:54
KALIFORNIJA-KUZBASS 70:7
SINSITIJA-PRETORIJA 7:94
LAUDERI-KALIFORNIJA 70:104
AUGSBURGA-PRETORIJA 70:118
ZVIEDRIJA-PARAGVAJA 128:70
BALTKRIEVIJA-VENERS 73:70
MELARS-KENTERBERIJA 70:74
ZVIEDRIJA-HANNOVERE 89:70
MONROVIJA-VALENSIJA 70:93
VAGADUGU-LOMBARDIJA 70:94
FLANDRIJA-PORTORIKO 101:71
SKAUDVILE-FLANDRIJA 71:106
ZLATOUSA-KATALONIJA 71:109
NUKUSU-KANZASSITIJA 71:129
KUZBASS-KESONSITIJA 71:146
SKAUDVILE-VALENSIJA 71:150
ATABASKA-KATALONIJA 71:75
PATAGONIJA-ESENTUKI 102:72
FLANDRIJA-VERAKRUSA 130:72
DORTMUNDA-KALVARIJA 72:143
LIZUMS-BALTKRIEVIJA 72:98
LIBREVILA-KALABRIJA 73:117
KALABRIJA-KINGSTONA 136:73
LOMBARDIJA-STAMBULA 123:74
ELTONS-KENTERBERIJA 74:125
LOMBARDIJA-KAHOVSKA 89:74
KALIFORNIJA-TOSMARE 115:75
KESONSITIJA-IVANOVA 131:75
SANPAULU-EIPATORIJA 75:77
KARAKUMS-LOMBARDIJA 75:89
PATAGONIJA-INSBURGA 96:75
KUNCEVA-KALIFORNIJA 76:100
SKAUDVILE-PRETORIJA 76:108
VIKTORIJA-KOSTARIKA 110:76
ELBRUSS-KESONSITIJA 76:120
BRAZAVILA-PRETORIJA 76:127
SINSITIJA-SKAUDVILE 137:76
UTREHTA-KESONSITIJA 76:144
KESONSITIJA-KARPATI 113:77
MADRASA-KALIFORNIJA 77:145
KULAUTUVA-SINSITIJA 77:89
LIZUMS-KENTERBERIJA 77:94
KALIFORNIJA-MANAGVA 97:77
RIETAVA-KALIFORNIJA 78:101
SALDUS-BALTKRIEVIJA 78:119
LAUKUVA-KALIFORNIJA 78:144
DORTMUNDE-VIKTORIJA 78:150
KALIFORNIJA-KATVARI 85:78
ZVIEDRIJA-PORTORIKO 99:78
FEODOSIJA-SENTLUISA 115:79
KALIFORNIJA-SANHOSE 122:79
KATALONIJA-NEBRASKA 149:79
LIBREVILA-FEODOSIJA 79:92
EIPATORIJA-ATABASKA 107:8
MENHETENA-VALENSIJA 8:135
REDRIVERA-KALABRIJA 8:143
KALABRIJA-PITSBURGA 25:8
KESONSITIJA-ROSTOVA 28:8
BRJANSKA-PATAGONIJA 8:41
VALENSIJA-ORENBURGA 42:8
BELOSTOKA-KALABRIJA 8:91
FEODOSIJA-EDINBURGA 93:8
FLANDRIJA-MANHATANA 93:8
KESONSITIJA-DELTUVA 145:80
PRETORIJA-MONROVIJA 148:80
HANNOVERE-FLANDRIJA 81:113
KAUNATA-KALIFORNIJA 81:120
VIKTORIJA-PITSBURGA 123:81
HAMILTONA-VALENSIJA 81:131
TARENTO-KALIFORNIJA 81:136
ZVIEDRIJA-KALABRIJA 81:138
BEIRUTA-KALIFORNIJA 81:148
IVANOVA-KALIFORNIJA 82:108
LECKAVA-KALIFORNIJA 82:120
FLANDRIJA-BELGORODA 137:82
ALTAJS-BALTKRIEVIJA 82:86
DORTMUNDA-VIKTORIJA 83:137
KESONSITIJA-VORKUTA 119:84
KENTERBERIJA-ALATAU 133:84
KALIFORNIJA-ERFURTE 135:84
MORICSALA-KALVARIJA 84:93
AIZPUTE-KESONSITIJA 85:103
KUNCEVA-KESONSITIJA 85:114
PATAGONIJA-AMUDARJA 121:85
TARENTO-KESONSITIJA 85:129
LOMBARDIJA-VECSAULE 130:85
BIZERTA-KALIFORNIJA 85:90
FOLKSTONA-KALABRIJA 86:108
EIPATORIJA-BORNMUTA 122:86
MANHATANA-VALENSIJA 86:129
VERAKRUSA-VIKTORIJA 87:116
MELARS-BALTKRIEVIJA 87:127
KESONSITIJA-VAINUTA 132:87
LABANOVA-PATAGONIJA 87:99
ALATAU-BALTKRIEVIJA 88:100
MELBURNA-LOMBARDIJA 88:125
VAIVARI-KALIFORNIJA 88:93
RIODEORO-KATALONIJA 88:95
FEODOSIJA-KULAUTUVA 132:89
INESIS-KENTERBERIJA 89:142
SIRDARJA-KATALONIJA 89:148
MENHETENA-PRETORIJA 9:122
ATABASKA-PATAGONIJA 9:126
PRIEKULE-PATAGONIJA 9:131
MACESTA-KALIFORNIJA 9:145
FLANDRIJA-ZVIEDRIJA 148:9
EIPATORIJA-IRKUTSKA 25:9
ZVIEDRIJA-SINSITIJA 51:9
MALJORKA-EIPATORIJA 9:60
LOMBARDIJA-DINKERSA 65:9
LIBREVILA-FLANDRIJA 9:74
HAMBURGA-KATALONIJA 9:88
SARANSKA-KATALONIJA 90:115
VALENSIJA-REDRIVERA 93:90
PRETORIJA-KALVARIJA 91:105
PRETORIJA-VERAKRUSA 109:91
PORTOVANA-VIKTORIJA 91:97
PRETORIJA-REDRIVERA 101:92
KESONSITIJA-KALKUTA 115:92
VIKTORIJA-FLANDRIJA 92:127
MOLDOVA-KESONSITIJA 92:128
PRETORIJA-VIKTORIJA 144:92
HAMILTONA-ZVIEDRIJA 93:102
FOLRIVERA-VALENSIJA 93:116
REDRIVERA-KALVARIJA 93:129
SINSITIJA-EDINBURGA 94:93
GURJEVA-KESONSITIJA 93:97
EIPATORIJA-DINKERSA 98:93
LUGANSKA-PATAGONIJA 95:109
FOLRIVERA-PRETORIJA 95:96
BARNAULA-EIPATORIJA 96:110
PATAGONIJA-HAMBURGA 116:96
KALVARIJA-DORTMUNDE 130:96
ZALCBURGA-FEODOSIJA 96:135
LABANOVA-EIPATORIJA 97:108
KALVARIJA-PORTOVANA 120:97
KALABRIJA-PRETORIJA 97:133
SINSITIJA-LIBREVILA 113:98
VALENSIJA-KALVARIJA 98:117
KIROVSKA-KATALONIJA 98:126
AUGSBURGA-VALENSIJA 98:136
SINSITIJA-PITSBURGA 136:99
ZVIEDRIJA-EDINBURGA 140:99
KALABRIJA-KOSTARIKA 143:99
MONROVIJA-SKAUDVILE 148:99
ALAUKSTS-LOMBARDIJA 99:149
ZVIEDRIJA-MANHATANA 150:99
FOLRIVERA-KOSTARIKA 0:106
KOSTARIKA-GALGAUSKA 141:104
KOSTARIKA-FEODOSIJA 129:107
KOSTARIKA-ZALCBURGA 32:11
MANHATANA-KOSTARIKA 129:134
BELGORODA-KOSTARIKA 13:56
SINSITIJA-KOSTARIKA 14:15
SENTLUISA-KOSTARIKA 15:74
KOSTARIKA-AUGSBURGA 141:17
REDRIVERA-KOSTARIKA 17:53
PITSBURGA-KOSTARIKA 20:125
KOSTARIKA-FOLKSTONA 34:25
LIBREVILA-KOSTARIKA 26:121
KOSTARIKA-ORENBURGA 81:3
NOVGORODA-KOSTARIKA 32:57
SOMERSETA-KOSTARIKA 35:142
KOSTARIKA-DORTMUNDA 87:35
VALENSIJA-KOSTARIKA 40:70
KOSTARIKA-BRAZAVILA 45:42
KOSTARIKA-PORTOVANA 80:44
EDINBURGA-KOSTARIKA 45:85
KOSTARIKA-TAGANROGA 51:46
KOSTARIKA-PARAGVAJA 132:49
MENHETENA-KOSTARIKA 6:60
MORICSALA-KOSTARIKA 64:131
KOSTARIKA-BELOSTOKA 67:64
KOSTARIKA-VERAKRUSA 72:66
KULAUTUVA-KOSTARIKA 69:111
KINGSTONA-KOSTARIKA 73:127
KOSTARIKA-DORTMUNDE 131:73
KOSTARIKA-SKAUDVILE 99:73
KOSTARIKA-HAMILTONA 146:74
LUCAVSALA-KOSTARIKA 82:84
MONROVIJA-KOSTARIKA 83:143
KOSTARIKA-HANNOVERE 141:9
KOSTARIKA-PORTORIKO 111:98
ALEKSOTA-PUERTORIKO 0:22
PORTORIKO-EDINBURGA 4:0
ZALCBURGA-PORTORIKO 0:96
PRIEKULE-PUERTORIKO 10:135
BELFASTA-PUERTORIKO 10:97
KZILORDA-PUERTORIKO 100:139
RIODEORO-PUERTORIKO 102:132
MINESOTA-PUERTORIKO 104:109
PORTORIKO-MORICSALA 117:105
PANEMUNE-PUERTORIKO 106:137
PORTORIKO-MANHATANA 149:111
VERAKRUSA-PORTORIKO 112:115
PUERTORIKO-ALAUKSTS 120:115
DENKERKA-PUERTORIKO 118:144
PORTORIKO-HANNOVERE 129:124
PUERTORIKO-BRJANSKA 41:14
VECSAULE-PUERTORIKO 15:61
ATABASKA-PUERTORIKO 16:72
PUERTORIKO-KARAKUMS 95:16
KAVARSKA-PUERTORIKO 17:106
USUMBURA-PUERTORIKO 17:131
PORTORIKO-SOMERSETA 71:18
KULAUTUVA-PORTORIKO 18:84
LUCAVSALA-PORTORIKO 18:86
OKSFORDA-PUERTORIKO 19:65
FEODOSIJA-PORTORIKO 19:86
KINGSTONA-PORTORIKO 21:55
PUERTORIKO-DINKERSA 102:22
PUERTORIKO-SIESARTE 115:23
ANGARSKA-PUERTORIKO 25:116
PUERTORIKO-JAKUTSKA 109:26
SENTLUISA-PORTORIKO 27:30
PUERTORIKO-SIRDARJA 109:29
LIBREVILA-PORTORIKO 29:38
PORTORIKO-SINSITIJA 109:30
PORTORIKO-BRAZAVILA 53:30
SKAUDVILE-PORTORIKO 30:63
PUERTORIKO-BARNAULA 51:32
PORTORIKO-FOLRIVERA 36:33
PUERTORIKO-INSBURGA 147:37
PUERTORIKO-RAISKUMS 64:38
LABANOVA-PUERTORIKO 38:90
PORTORIKO-AUGSBURGA 140:39
NOVGORODA-PORTORIKO 4:103
PUERTORIKO-KIROVSKA 123:42
PUERTORIKO-VADAKSTE 92:43
PUERTORIKO-EVERESTS 96:43
PUERTORIKO-MALJORKA 103:45
MELBURNA-PUERTORIKO 45:97
PORTORIKO-BELOSTOKA 118:47
GLAZGOVA-PUERTORIKO 47:59
PORTORIKO-PITSBURGA 102:48
VINDHUKA-PUERTORIKO 48:123
SANPAULU-PUERTORIKO 48:69
PUERTORIKO-KRAKATAU 123:57
PUERTORIKO-KEMEROVA 101:60
IRKUTSKA-PUERTORIKO 61:91
PORTORIKO-GALGAUSKA 115:62
HAMILTONA-PORTORIKO 62:149
PORTOVANA-PORTORIKO 64:117
BELGORODA-PORTORIKO 65:107
NEBRASKA-PUERTORIKO 65:113
SARANSKA-PUERTORIKO 65:140
PORTORIKO-TAGANROGA 79:65
MENHETENA-PORTORIKO 65:92
DORTMUNDA-PORTORIKO 66:148
PUERTORIKO-BORNMUTA 115:67
PUERTORIKO-JURBARKA 93:67
PUERTORIKO-SINTAUTI 85:68
PUERTORIKO-SOVETSKA 102:7
PUERTORIKO-ZLATOUSA 114:7
PORTORIKO-PARAGVAJA 146:7
PORTORIKO-MONROVIJA 89:7
PIEDRUJA-PUERTORIKO 70:130
VAGADUGU-PUERTORIKO 74:103
PUERTORIKO-INSBRUKA 93:75
PUERTORIKO-ESENTUKI 114:76
PORTORIKO-REDRIVERA 120:77
PUERTORIKO-HONOLULU 81:79
DORTMUNDE-PORTORIKO 81:95
KAHOVSKA-PUERTORIKO 82:108
PORTORIKO-VALENSIJA 135:82
AMUDARJA-PUERTORIKO 82:146
PUERTORIKO-HAMBURGA 89:85
FOLKSTONA-PORTORIKO 86:101
PUERTORIKO-HOLIVUDA 138:86
PUERTORIKO-SARAGOSA 146:86
PUERTORIKO-STAMBULA 126:87
LUGANSKA-PUERTORIKO 90:121
PORTORIKO-ORENBURGA 124:93
MAIKOPA-DIMITROVGRADA 79:38
MAIKOPA-SANSEVASTJANA 87:86
KONEKTIKUTA-BRAZAVILA 127:1
KONEKTIKUTA-HANNOVERE 16:10
KONEKTIKUTA-AUGSBURGA 28:10
ORENBURGA-KONEKTIKUTA 100:105
KONEKTIKUTA-REDRIVERA 130:103
KONEKTIKUTA-KINGSTONA 146:112
KONEKTIKUTA-PORTOVANA 111:13
DORTMUNDE-KONEKTIKUTA 14:27
LIBREVILA-KONEKTIKUTA 143:150
ZALCBURGA-KONEKTIKUTA 15:29
SKAUDVILE-KONEKTIKUTA 23:134
DORTMUNDA-KONEKTIKUTA 37:141
GALGAUSKA-KONEKTIKUTA 39:100
KONEKTIKUTA-SENTLUISA 121:47
HAMILTONA-KONEKTIKUTA 49:87
KONEKTIKUTA-EDINBURGA 72:51
FOLKSTONA-KONEKTIKUTA 6:51
KONEKTIKUTA-KULAUTUVA 70:6
KONEKTIKUTA-MONROVIJA 138:68
KONEKTIKUTA-PARAGVAJA 114:75
KONEKTIKUTA-PITSBURGA 138:79
FOLRIVERA-KONEKTIKUTA 91:110
KONEKTIKUTA-BELOSTOKA 110:94
LIBREVILA-SKAUDVILE 147:29
BRAZAVILA-LIBREVILA 87:89
BRAZAVILA-SKAUDVILE 113:99
TBILISI-SANSEVASTJANA 68:33
KZILORDA-DIMITROVGRADA 97:0
SANSEVASTJANA-KZILORDA 84:141
SKAUDVILE-SALASPILS 0:52
BELOSTOKA-SALASPILS 1:21
MENHETENA-SALASPILS 10:35
SALASPILS-NOVGORODA 47:10
MONROVIJA-SALASPILS 10:87
PRETORIJA-SALASPILS 101:119
MANHATANA-VENTSPILS 101:150
KRUSTPILS-MORICSALA 132:102
LIBREVILA-SALASPILS 103:138
KRUSTPILS-TAGANROGA 132:107
KRUSTPILS-BRAZAVILA 112:109
DORTMUNDE-VENTSPILS 110:138
AUGSBURGA-VENTSPILS 114:128
VENTSPILS-SALASPILS 115:136
VENTSPILS-EDINBURGA 107:12
KINGSTONA-VENTSPILS 12:120
KINGSTONA-SALASPILS 12:37
VENTSPILS-MORICSALA 143:120
VENTSPILS-TIRASPOLE 150:129
VENTSPILS-PRETORIJA 140:13
KRUSTPILS-HAMILTONA 42:13
SKAGERAKS-VENTSPILS 13:44
SALASPILS-MORICSALA 82:13
SALASPILS-HONDURASA 85:13
VENTSPILS-HONDURASA 103:14
VENTSPILS-SOMERSETA 137:14
VENTSPILS-GALGAUSKA 95:14
SINSITIJA-KRUSTPILS 141:142
HANNOVERE-KRUSTPILS 15:80
VERAKRUSA-SALASPILS 16:132
SALASPILS-TIRASPOLE 20:16
VENTSPILS-LUCAVSALA 132:19
REDRIVERA-SALASPILS 19:92
TERNOPOLE-VENTSPILS 2:24
BELOSTOKA-KRUSTPILS 20:134
DORTMUNDE-KRUSTPILS 20:21
AUGSBURGA-SALASPILS 20:26
GALGAUSKA-KRUSTPILS 20:37
SALASPILS-PITSBURGA 41:20
PORTORIKO-VENTSPILS 20:85
SKAUDVILE-KRUSTPILS 23:100
VENTSPILS-KALABRIJA 141:23
SALASPILS-DORTMUNDA 96:23
KRUSTPILS-VERAKRUSA 107:24
MANHATANA-KRUSTPILS 24:85
HANNOVERE-SALASPILS 25:134
LIBREVILA-VENTSPILS 25:27
KULAUTUVA-SALASPILS 26:63
SKAGERAKS-KRUSTPILS 27:112
VENTSPILS-MONROVIJA 66:27
VENTSPILS-BRAZAVILA 69:27
VENTSPILS-NOVGORODA 131:28
KULAUTUVA-VENTSPILS 28:56
PORTORIKO-SALASPILS 28:79
VENTSPILS-MENHETENA 39:29
KALVARIJA-SALASPILS 29:44
TAGANROGA-VENTSPILS 3:140
HAMILTONA-VENTSPILS 30:34
KRUSTPILS-FOLRIVERA 73:30
KRUSTPILS-PORTOVANA 91:30
SALASPILS-EDINBURGA 85:31
BELOSTOKA-VENTSPILS 32:66
SALASPILS-SKAGERAKS 138:33
KRUSTPILS-FEODOSIJA 95:34
VENTSPILS-KRUSTPILS 114:35
VIKTORIJA-VENTSPILS 35:146
SALASPILS-ZALCBURGA 105:36
KRUSTPILS-SENTLUISA 111:37
SINSITIJA-VENTSPILS 37:135
SALASPILS-HAMILTONA 113:38
KRUSTPILS-DORTMUNDA 95:38
FLANDRIJA-KRUSTPILS 39:103
FLANDRIJA-VENTSPILS 39:149
KRUSTPILS-HONDURASA 106:41
SALASPILS-KOSTARIKA 110:43
PORTORIKO-KRUSTPILS 43:126
SALASPILS-TAGANROGA 145:43
SKAUDVILE-VENTSPILS 45:106
SINSITIJA-SALASPILS 45:145
PITSBURGA-KRUSTPILS 45:83
FOLRIVERA-SALASPILS 47:108
KRUSTPILS-ZVIEDRIJA 78:48
ZALCBURGA-KRUSTPILS 49:78
PORTOVANA-SALASPILS 5:117
VIKTORIJA-SALASPILS 5:12
KRUSTPILS-SOMERSETA 68:51
FEODOSIJA-SALASPILS 52:115
TIRASPOLE-KRUSTPILS 53:59
KRUSTPILS-SALASPILS 54:111
SENTLUISA-SALASPILS 55:131
SALASPILS-FLANDRIJA 147:55
KRUSTPILS-FOLKSTONA 66:56
VENTSPILS-PARAGVAJA 118:58
AUGSBURGA-KRUSTPILS 58:134
VALENSIJA-KRUSTPILS 58:99
KRUSTPILS-EDINBURGA 119:59
VENTSPILS-PORTOVANA 106:6
MANHATANA-SALASPILS 6:113
PRETORIJA-KRUSTPILS 6:32
KALABRIJA-SALASPILS 6:40
DORTMUNDA-VENTSPILS 60:70
KRUSTPILS-TERNOPOLE 127:62
VERAKRUSA-VENTSPILS 62:82
FOLKSTONA-SALASPILS 63:110
LIBREVILA-KRUSTPILS 63:133
SALASPILS-GALGAUSKA 69:63
VENTSPILS-FEODOSIJA 127:64
TERNOPOLE-SALASPILS 64:137
VENTSPILS-VALENSIJA 85:65
VENTSPILS-SENTLUISA 129:66
SALASPILS-VALENSIJA 132:67
KALABRIJA-KRUSTPILS 67:77
BRAZAVILA-SALASPILS 68:108
VENTSPILS-ZVIEDRIJA 144:68
KRUSTPILS-KINGSTONA 103:69
REDRIVERA-VENTSPILS 69:90
KALVARIJA-KRUSTPILS 7:123
KRUSTPILS-LUCAVSALA 59:7
ZALCBURGA-VENTSPILS 70:119
KRUSTPILS-VIKTORIJA 95:71
PARAGVAJA-KRUSTPILS 72:149
KOSTARIKA-KRUSTPILS 72:98
ORENBURGA-VENTSPILS 74:104
ORENBURGA-SALASPILS 74:80
VENTSPILS-PITSBURGA 78:76
KRUSTPILS-ORENBURGA 140:80
FOLKSTONA-VENTSPILS 80:92
ZVIEDRIJA-SALASPILS 80:92
SALASPILS-LUCAVSALA 115:82
DORTMUNDE-SALASPILS 83:131
VENTSPILS-FOLRIVERA 108:84
MONROVIJA-KRUSTPILS 86:107
BELGORODA-VENTSPILS 87:132
BELGORODA-SALASPILS 9:108
