300
KEMEROVA-VALGUNDE 75:101
DENKERKA-JANOPOLE 75:101
TERNOPOLE-VARDURA 113:75
GALIPOLE-RIODEORO 114:75
TAIZEME-PORTONOVA 115:75
MARTINIKA-MEISENE 75:145
NOVGORODA-LAUTERE 75:83
ZVIEDRIJA-KAPZEME 75:86
FLORENCE-KORNVOLA 93:75
MBABANE-TIRASPOLE 93:75
KAPZEME-TAGANROGA 100:76
VALGUNDE-BANDUNGA 103:76
BEBRENE-NOVGORODA 103:76
MARIAMPOLE-VENERS 112:76
PORTORIKO-MINHENE 76:121
VERAKRUSA-LIELUPE 76:130
RADOPOLE-EKVADORA 137:76
SEVANS-MARIAMPOLE 76:144
NIKOPOLE-SKIEMONE 148:76
BALTEZERS-KURZEME 76:20
NIKOPOLE-GALIPOLE 47:76
MELNUPE-ZVIEDRIJA 84:76
BELGORODA-TOSMARE 76:86
JITLANDE-DENKERKA 88:76
JANOPOLE-BRAITONA 99:76
NOVGORODA-TAMPERE 77:127
GALIPOLE-JOKOHOMA 138:77
VERAKRUSA-KALVENE 77:146
RANGUNA-UGUNSZEME 77:147
USTRONE-MARIANNAS 83:77
VENERS-MELITOPOLE 77:86
TERNOPOLE-BALDONE 77:86
NIKOPOLE-BALATONS 87:77
VALGUNDE-KORNVOLA 96:77
PRETORIJA-MBABANE 78:101
GULBENE-GUBERNIJA 125:78
STOMBOLI-VESTENDE 78:128
PILTENE-SALASPILS 143:78
BREDFORDA-KAPZEME 78:146
VIKTORIJA-KALVENE 78:93
LITLROKA-JITLANDE 78:99
VIKTORIJA-MINHENE 79:111
OKLAHOMA-GALIPOLE 79:112
KILKENIJA-GULBENE 79:119
BELGORODA-PLATONE 79:120
BRISTOLE-FLORENCE 79:125
JITLANDE-BALATONS 125:79
TAIZEME-MARTINIKA 125:79
OKLAHOMA-VESTENDE 79:129
NIKOPOLE-STOMBOLI 145:79
GABORONE-JURBARKA 85:79
SKAGERAKS-MINHENE 79:86
BELGORODA-OGLAINE 79:88
VESTENDE-SKIEMONE 90:79
FLANDRIJA-BALDONE 79:97
GUBERNIJA-SLOCENE 79:97
PUMPENI-UGUNSZEME 79:98
STOKHOLMA-BEBRENE 79:98
VESTENDE-JURBARKA 99:79
JANOPOLE-LISABONA 101:8
STOKHOLMA-USTRONE 8:106
VAIVARI-TIRASPOLE 8:128
MINESOTA-RADOPOLE 8:138
SARAGOSA-JITLANDE 8:140
LABANOVA-GALIPOLE 8:143
VERAKRUSA-TAURUPE 8:149
BOSTONA-UGUNSZEME 8:25
GULBENE-VERAKRUSA 37:8
TIRASPOLE-KANGARI 42:8
JANOPOLE-RADOPOLE 8:48
TERNOPOLE-AMAZONE 8:56
AVINJONA-GALIPOLE 8:87
GABORONE-LABANOVA 123:80
MARIANNAS-KAPZEME 80:127
BALDONE-MURMANSKA 129:80
JITLANDE-PALEMONA 130:80
HAMBURGA-GABORONE 80:132
PORTORIKO-TAMPERE 80:85
STOKHOLMA-KALTENE 80:96
VERAKRUSA-MINHENE 81:100
JANOPOLE-SARAGOSA 106:81
PORTONOVA-PILZENE 81:111
UGUNSZEME-MAKENZI 113:81
PORTONOVA-KAPZEME 81:135
PILZENE-MARIANNAS 83:81
PALEMONA-FLORENCE 81:85
OKSFORDA-GALIPOLE 81:91
KUNLUNS-UGUNSZEME 81:97
SALIENA-UGUNSZEME 82:119
PILZENE-TAGANROGA 119:82
JURBARKA-RADOPOLE 82:122
PORTORIKO-BEBRENE 82:140
KALABRIJA-MEISENE 82:145
BRISTOLE-KZILORDA 100:83
GUBERNIJA-BEBRENE 83:110
AVINJONA-BRISTOLE 83:122
VALGUNDE-EKVADORA 128:83
MBABANE-KILKENIJA 149:83
KUSTANAJA-KAPZEME 83:149
ZENTENE-FLANDRIJA 150:83
TOBAGO-MARIAMPOLE 83:85
TOSMARE-TERNOPOLE 83:91
GALIPOLE-DENKERKA 117:84
TAIZEME-VERAKRUSA 123:84
KALABRIJA-MINHENE 84:131
ALTAJS-MARIAMPOLE 84:132
BALDONE-MARIANNAS 134:84
KEMEROVA-RADOPOLE 84:138
RAUDONE-BORNHOLMA 140:84
VIKTORIJA-PILZENE 84:147
PLATONE-MARIANNAS 109:85
BALDONE-BREDFORDA 123:85
TIRASPOLE-OGLAINE 85:125
TIRASPOLE-MEISENE 85:132
FLANDRIJA-LAUTERE 85:135
LOTRINGA-FLORENCE 85:137
VESTENDE-GABORONE 140:85
CIECERE-TAGANROGA 140:85
ZENTENE-TIRASPOLE 143:85
KALTENE-GUBERNIJA 89:85
TIRASPOLE-MADEIRA 93:85
KALVENE-BREDFORDA 95:85
AMAZONE-VERAKRUSA 98:85
HONDURASA-PEDEDZE 86:107
KOSTARIKA-PILTENE 86:109
PORTONOVA-PLATONE 86:115
KRUSTPILS-MELNUPE 86:131
PALEMONA-NIKOPOLE 86:137
GOTLANDE-VERMONTA 147:86
PLATONE-VIKTORIJA 93:86
SARAGOSA-NIKOPOLE 86:96
USTRONE-ZVIEDRIJA 101:87
VENTSPILS-KALVENE 87:102
VENTSPILS-AMAZONE 87:104
JITLANDE-BANGKOKA 106:87
PORTORIKO-TAIZEME 87:108
VESTENDE-BELMANTA 113:87
SLOCENE-TIRASPOLE 114:87
SKAGERAKS-BEBRENE 87:131
UGUNSZEME-KATVARI 136:87
USTRONE-VENTSPILS 93:87
TRAPENE-UGUNSZEME 87:93
MBABANE-VIKTORIJA 99:87
NOVGORODA-PILZENE 88:106
AMAZONE-ZVIEDRIJA 108:88
TRAPENE-BELGORODA 108:88
VALGUNDE-REINJORA 110:88
VENTSPILS-LIELUPE 88:116
RADOPOLE-ALEKSOTA 126:88
TAIZEME-SKAGERAKS 129:88
MINHENE-MURMANSKA 148:88
KEMEROVA-FLORENCE 89:100
VESTENDE-GOTLANDE 89:109
HONDURASA-KAPZEME 89:117
KALABRIJA-AMAZONE 89:125
VERAKRUSA-KALTENE 89:128
JANOPOLE-JITLANDE 89:136
PLATONE-NOVGORODA 143:89
TAMPERE-PRETORIJA 144:89
BEBRENE-FLANDRIJA 98:89
HONDURASA-MBABANE 9:11
KRUSTPILS-BALDONE 9:112
BALDONE-BELGORODA 132:9
PEDEDZE-KOSTARIKA 136:9
MBABANE-UGUNSZEME 9:137
SLOCENE-ZVIEDRIJA 139:9
HONIARA-TIRASPOLE 9:146
NIKOPOLE-FLORENCE 9:148
HONDURASA-BEBRENE 9:29
PORTORIKO-KALTENE 9:38
PLATONE-VERAKRUSA 54:9
MARIANNAS-MINHENE 9:56
TAIZEME-KOSTARIKA 61:9
JANOPOLE-HAMBURGA 62:9
BEBRENE-KRUSTPILS 62:9
KILKENIJA-KURZEME 9:69
PRETORIJA-TAURUPE 9:85
MERGUPE-VIKTORIJA 91:9
VESTENDE-MALJORKA 93:9
OGLAINE-VENTSPILS 103:90
VESTENDE-SIESARTE 105:90
JITLANDE-BRAITONA 106:90
ZVIEDRIJA-MEISENE 90:109
LIELUPE-TIRASPOLE 110:90
KATMANDU-VALGUNDE 90:113
TAURUPE-VIKTORIJA 130:90
JITLANDE-SIRDARJA 137:90
SALASPILS-TAIZEME 90:138
MBABANE-MARTINIKA 148:90
PEDEDZE-PORTORIKO 100:91
GOTLANDE-JURBARKA 116:91
TERNOPOLE-KALVENE 91:118
VALGUNDE-BANGKOKA 127:91
RADOPOLE-PEREKOPS 129:91
SIESARTE-JANOPOLE 91:130
MELITOPOLE-MASTIS 101:92
MURMANSKA-OGLAINE 92:105
DENVERA-UGUNSZEME 92:110
GOTLANDE-GABORONE 119:92
TIRASPOLE-SUMATRA 148:92
HONDURASA-PILTENE 93:105
LOTRINGA-GOTLANDE 93:112
DOTMUNDA-FLORENCE 93:115
PILZENE-UGUNSZEME 93:126
EGLAINE-KRUSTPILS 136:93
JITLANDE-BABRUNGA 144:93
SLOCENE-SKAGERAKS 146:93
INVERNESA-KAPZEME 93:94
VALGUNDE-GABORONE 96:93
NIKOPOLE-PEREKOPS 100:94
PRETORIJA-LIELUPE 94:106
FLORENCE-JITLANDE 112:94
KURZEME-TIRASPOLE 113:94
JOKOHOMA-VESTENDE 94:117
KOSTROMA-FLORENCE 94:122
EGLAINE-KILKENIJA 147:94
KILKENIJA-KALVENE 94:96
PILTENE-ZVIEDRIJA 101:95
PELTES-MARIAMPOLE 95:121
KANBERA-TERNOPOLE 95:124
KRUSTPILS-GULBENE 95:135
VERAKRUSA-OGLAINE 95:135
SALASPILS-OGLAINE 95:144
KRUSTPILS-MINHENE 95:147
GLAZGOVA-FLORENCE 95:96
TIRASPOLE-PILTENE 96:101
HAMBURGA-NIKOPOLE 96:117
LIELUPE-KALABRIJA 127:96
TERNOPOLE-EGLAINE 96:134
VAIVARI-TERNOPOLE 96:97
GOTLANDE-BALATONS 98:96
SIESARTE-BRISTOLE 97:112
USTRONE-HONDURASA 135:97
PORTORIKO-ALUKSNE 97:140
NOVGORODA-ALUKSNE 97:144
OGLAINE-PRETORIJA 105:98
ANTVERPENE-OLIMPS 115:98
PEDEDZE-TAGANROGA 117:98
KURZEME-HONDURASA 123:98
KOSTARIKA-MERGUPE 98:130
NIKOPOLE-GOTLANDE 98:146
TERNOPOLE-MEISENE 98:99
KAZDANGA-VESTENDE 99:105
KOSTARIKA-KALTENE 99:108
HONIARA-UGUNSZEME 99:119
ALEKSOTA-FLORENCE 99:122
IZMAIRA-TIRASPOLE 99:129
REINJORA-FLORENCE 99:132
VESTENDE-ALEKSOTA 144:99
KALABRIJA-BEBRENE 99:149
BALTKRIEVIJA-MINEAPOLISA 11:97
KENTERBERIJA-MINEAPOLISA 60:98
PETROPAVLOVSKA-BEBRENE 86:149
DIMITROVGRADA-CIECERE 89:150
PETROPAVLOVSKA-VECUMNIEKI 66:114
PEDEDZE-PETROPAVLOVSKA 108:80
BREDFORDA-NOVOMOSKOVSKA 147:117
BREDFORDA-DIMITROVGRADA 96:2
PEDEDZE-KRASNOJARSKA 80:0
PEDEDZE-KRASNOVODSKA 13:1
PEDEDZE-NAROFOMINSKA 144:130
PEDEDZE-MONTGOMERIJA 89:2
PEDEDZE-KENTERBERIJA 31:22
BALTKRIEVIJA-PEDEDZE 25:27
STARAPLANINA-PEDEDZE 4:24
KRASNOKAMSKA-PEDEDZE 55:92
LONDONDERIJA-PEDEDZE 59:126
KRAMAMTORSKA-PEDEDZE 63:143
PEDEDZE-RIETUMINDIJA 150:87
TOLEDO-KRASNOKAMSKA 85:52
KRASNOJARSKA-TOLEDO 55:129
STARAPLANINA-TOLEDO 56:132
TOLEDO-BALTKRIEVIJA 73:61
TOLEDO-KENTERBERIJA 86:62
TOLEDO-KRASNOVODSKA 112:69
TOLEDO-MONTGOMERIJA 91:70
NAROFOMINSKA-TOLEDO 74:83
OKLAKOMSITIJA-OREGONA 13:109
OREGONA-DIMITROVGRADA 106:39
JOHANNESBURGA-OREGONA 59:74
NOVOMOSKOVSKA-OREGONA 98:113
MEHIKO-PETROPAVLOVSKA 20:5
NOVOMOSKOVSKA-OREHOZUJEVA 11:83
JOHANNESBURGA-OREHOZUJEVA 14:44
OREHOZUJEVA-OKLAKOMSITIJA 149:19
DIMITROVGRADA-OREHOZUJEVA 46:139
PETROPAVLOVSKA-CEILONA 47:100
PETROPAVLOVSKA-REINJORA 69:149
MADEIRA-KENTERBERIJA 128:110
MADEIRA-BALTKRIEVIJA 35:18
MEISENE-PETROPAVLOVSKA 26:4
SMALINIEKI-EKVADORA 109:0
RADOPOLE-SMALINIEKI 0:121
SIRDARJA-VECUMNIEKI 0:130
STOMBOLI-SMALINIEKI 0:26
MINESOTA-VECUMNIEKI 1:108
KROIDONA-VECUMNIEKI 1:124
VECUMNIEKI-KOSTROMA 147:1
LITLROKA-VECUMNIEKI 101:128
SORBONNA-VECUMNIEKI 104:111
NIKOPOLE-VECUMNIEKI 105:128
VECUMNIEKI-PALEMONA 19:11
SMALINIEKI-SIESARTE 19:11
VECUMNIEKI-BRISTOLE 150:114
VECUMNIEKI-JANOPOLE 136:116
HELSINKI-VECUMNIEKI 117:123
VECUMNIEKI-MANITOBA 114:12
OKSFORDA-VECUMNIEKI 121:136
TURMANTA-SMALINIEKI 121:147
SMALINIEKI-KZILORDA 137:122
HELSINKI-SMALINIEKI 123:125
KEMEROVA-VECUMNIEKI 124:127
MELBURNA-VECUMNIEKI 13:21
VECUMNIEKI-BELMANTA 31:13
KROIDONA-SMALINIEKI 14:41
DENKERKA-VECUMNIEKI 14:44
OKLAHOMA-VECUMNIEKI 143:145
SARAGOSA-SMALINIEKI 15:108
AMUDARJA-SMALINIEKI 16:60
BRAITONA-VECUMNIEKI 16:81
SIRDARJA-SMALINIEKI 17:145
PEREKOPS-SMALINIEKI 19:108
VECUMNIEKI-VERMONTA 135:2
VECUMNIEKI-STOMBOLI 63:2
HAMBURGA-SMALINIEKI 20:43
VECUMNIEKI-AMUDARJA 145:21
MINESOTA-SMALINIEKI 21:58
SORBONNA-SMALINIEKI 22:58
SMALINIEKI-MALJORKA 105:25
KOSTROMA-SMALINIEKI 29:93
JURBARKA-SMALINIEKI 3:125
VECUMNIEKI-HAMBURGA 54:30
RADOPOLE-VECUMNIEKI 30:58
SMALINIEKI-GALIPOLE 127:31
SMALINIEKI-OKSFORDA 137:31
BRAITONA-SMALINIEKI 31:86
FERMENTA-SMALINIEKI 32:143
VECUMNIEKI-MALJORKA 57:32
VECUMNIEKI-KZILORDA 100:33
DINKERSA-SMALINIEKI 34:51
REINJORA-SMALINIEKI 35:123
BANGKOKA-SMALINIEKI 37:43
SMALINIEKI-SKIEMONE 97:37
KEMEROVA-SMALINIEKI 38:78
SMALINIEKI-BRISTOLE 73:39
VECUMNIEKI-EKVADORA 145:4
SIESARTE-VECUMNIEKI 4:145
LISABONA-SMALINIEKI 4:146
SARAGOSA-VECUMNIEKI 4:86
SMALINIEKI-VERMONTA 121:41
SMALINIEKI-ALEKSOTA 98:41
RIODEORO-SMALINIEKI 44:58
SKIEMONE-VECUMNIEKI 45:49
DENKERKA-SMALINIEKI 46:102
PALEMONA-SMALINIEKI 49:123
VECUMNIEKI-GLAZGOVA 128:5
VECUMNIEKI-JOKOHOMA 29:5
RIODEORO-VECUMNIEKI 51:140
GALIPOLE-VECUMNIEKI 52:77
SMALINIEKI-LABANOVA 89:53
KORNVOLA-SMALINIEKI 55:58
SMALINIEKI-LITLROKA 79:55
SMALINIEKI-GLAZGOVA 103:56
VECUMNIEKI-JURBARKA 147:59
INSBURGA-VECUMNIEKI 6:18
VECUMNIEKI-LISABONA 45:6
VECUMNIEKI-AVINJONA 146:62
GABORONE-VECUMNIEKI 62:92
VECUMNIEKI-PEREKOPS 120:64
VECUMNIEKI-BANGKOKA 138:67
SMALINIEKI-GABORONE 70:69
SMALINIEKI-BELMANTA 76:72
SMALINIEKI-MANITOBA 107:73
DINKERSA-VECUMNIEKI 75:76
JANOPOLE-SMALINIEKI 76:105
SMALINIEKI-OKLAHOMA 138:76
VECUMNIEKI-TURMANTA 86:77
AVINJONA-SMALINIEKI 81:134
BALATONS-VECUMNIEKI 84:97
VECUMNIEKI-FERMENTA 105:87
ALEKSOTA-VECUMNIEKI 9:129
SMALINIEKI-NIKOPOLE 106:91
SMALINIEKI-BALATONS 127:92
VECUMNIEKI-LABANOVA 146:93
SMALINIEKI-INSBURGA 111:95
SMALINIEKI-JOKOHOMA 98:95
REINJORA-VECUMNIEKI 96:133
KORNVOLA-VECUMNIEKI 97:140
SMALINIEKI-MELBURNA 143:99
PEREKOPS-KRASNOVODSKA 45:10
PEREKOPS-BALTKRIEVIJA 119:110
STARAPLANINA-PEREKOPS 46:74
PEREKOPS-KENTERBERIJA 108:56
ALEKSOTA-DIMITROVGRADA 54:0
PETROPAVLOVSKA-MELITOPOLE 5:74
PETROPAVLOVSKA-BELMANTA 84:126
BELOMORSKA-PETROPAVLOVSKA 83:75
PETROPAVLOVSKA-PELOPONESA 84:100
PETROPAVLOVSKA-HELSINKI 19:31
LIELUPE-DIMITROVGRADA 110:8
MANITOBA-BIRMINGEMA 0:20
BIRMINGEMA-BRAITONA 103:10
EKVADORA-BIRMINGEMA 10:109
BIRMINGEMA-NIKOPOLE 18:10
BIRMINGEMA-REINJORA 141:102
BIRMINGEMA-DENKERKA 140:111
AMUDARJA-BIRMINGEMA 116:117
VERMONTA-BIRMINGEMA 117:141
RIODEORO-BIRMINGEMA 123:148
SIRDARJA-BIRMINGEMA 13:69
TURMANTA-BIRMINGEMA 15:39
BANGKOKA-BIRMINGEMA 17:27
BIRMINGEMA-HELSINKI 133:21
FERMENTA-BIRMINGEMA 24:58
BIRMINGEMA-LISABONA 52:27
BIRMINGEMA-SORBONNA 86:30
OKLAHOMA-BIRMINGEMA 30:88
KZILORDA-BIRMINGEMA 31:54
HAMBURGA-BIRMINGEMA 32:36
BIRMINGEMA-JANOPOLE 144:36
BALATONS-BIRMINGEMA 38:78
BIRMINGEMA-SKIEMONE 145:40
BIRMINGEMA-PEREKOPS 41:40
BIRMINGEMA-SARAGOSA 43:40
BIRMINGEMA-BRISTOLE 58:40
MALJORKA-BIRMINGEMA 43:52
BIRMINGEMA-KOSTROMA 85:43
BIRMINGEMA-SIESARTE 74:45
DINKERSA-BIRMINGEMA 46:54
LITLROKA-BIRMINGEMA 46:84
BIRMINGEMA-GLAZGOVA 148:49
AVINJONA-BIRMINGEMA 5:12
JURBARKA-BIRMINGEMA 51:110
BIRMINGEMA-ALEKSOTA 60:51
RADOPOLE-BIRMINGEMA 62:79
KEMEROVA-BIRMINGEMA 63:82
BIRMINGEMA-LABANOVA 98:63
KROIDONA-BIRMINGEMA 7:66
BIRMINGEMA-STOMBOLI 94:71
BIRMINGEMA-MINESOTA 127:72
BIRMINGEMA-JOKOHOMA 97:74
OKSFORDA-BIRMINGEMA 77:105
BIRMINGEMA-INSBURGA 95:78
BELMANTA-BIRMINGEMA 8:23
BIRMINGEMA-PALEMONA 138:82
BIRMINGEMA-GABORONE 93:88
GALIPOLE-BIRMINGEMA 9:10
BIRMINGEMA-KORNVOLA 103:9
BIRMINGEMA-MELBURNA 144:94
KURZEME-BASUTOLENDA 142:100
TAIZEME-NAUJAMIESTE 130:103
HAIDARABADA-KURZEME 104:140
KURZEME-MARIENBURGA 140:105
VIKTORIJA-UGUNSZEME 106:138
KAPZEME-NAUJAMIESTE 115:113
TAIZEME-MARIENBURGA 137:113
UGUNSZEME-ZVIEDRIJA 121:114
VIRTENBERGA-KAPZEME 115:143
SIMFEROPOLE-KURZEME 117:129
ARTJOMONSKA-KAPZEME 12:33
UGUNSZEME-MARTINIKA 129:120
TAIZEME-VESTLOTJANA 125:123
MINEAPOLISA-KURZEME 124:127
VESTLOTJANA-KURZEME 126:140
KAPZEME-KIROVOGRADA 147:128
TAIZEME-KALIFORNIJA 136:131
FLANDRIJA-UGUNSZEME 135:136
ARTJOMONSKA-TAIZEME 14:78
UGUNSZEME-PRETORIJA 101:15
VENTSPILS-UGUNSZEME 15:133
KAPZEME-SJERANEVADA 143:15
KALIFORNIJA-KURZEME 17:58
UGUNSZEME-VERAKRUSA 67:17
OREHOZUJEVA-KURZEME 19:95
SENTLORENSA-TAIZEME 2:104
TAIZEME-PORTOPRENSA 142:20
MALAIZIJA-UGUNSZEME 21:130
SKIRSNEMUNE-KAPZEME 22:51
HAMBERSAIDA-KAPZEME 22:81
KAPZEME-SENTLORENSA 122:23
OREHOZUJEVA-TAIZEME 23:51
KAPZEME-VESTLOTJANA 92:25
UGUNSZEME-KILKENIJA 70:28
MINEAPOLISA-KAPZEME 29:124
UGUNSZEME-KALABRIJA 133:33
TAMMERFORSA-TAIZEME 33:134
KAPZEME-SIMFEROPOLE 131:36
KAPZEME-PORTOPRENSA 115:37
UGUNSZEME-BREDFORDA 124:37
KAPZEME-HAIDARABADA 42:37
TIRASPOLE-UGUNSZEME 37:61
KUSTANAJA-UGUNSZEME 39:102
KAUGURCIEMS-KAPZEME 4:12
KOSTARIKA-UGUNSZEME 40:122
TERNOPOLE-UGUNSZEME 41:115
NOVGORODA-UGUNSZEME 42:51
KIROVOGRADA-TAIZEME 45:60
CINCINATI-UGUNSZEME 45:67
SJERANEVADA-TAIZEME 45:72
UGUNSZEME-KRUSTPILS 124:47
RIETUMSOMOA-TAIZEME 47:142
UGUNSZEME-PORTSMUTA 145:47
KENSINGTONA-KAPZEME 48:150
BALTEZERS-UGUNSZEME 48:74
UGUNSZEME-INVERNESA 93:48
KURZEME-KENSINGTONA 110:49
TAIZEME-KAUGURCIEMS 146:49
UGUNSZEME-SKAGERAKS 17:5
HONDURASA-UGUNSZEME 50:73
TAIZEME-HAIDARABADA 137:51
KURZEME-KAUGURCIEMS 94:51
UGUNSZEME-PORTORIKO 123:52
TAIZEME-HAMBERSAIDA 84:52
UGUNSZEME-KALVARIJA 108:55
UGUNSZEME-TAGANROGA 72:55
UGUNSZEME-BELGORODA 142:57
BORNHOLMA-UGUNSZEME 58:115
SKIRSNEMUNE-TAIZEME 59:105
BASUTOLENDA-TAIZEME 59:112
KURZEME-NAUJAMIESTE 62:59
SJERANEVADA-KURZEME 6:28
TAMMERFORSA-KURZEME 62:138
MINEAPOLISA-TAIZEME 64:99
KURZEME-SENTLORENSA 113:7
UGUNSZEME-BALTIMORA 18:7
UGUNSZEME-GUBERNIJA 83:71
KAPZEME-TAMMERFORSA 147:72
KURZEME-KIROVOGRADA 84:75
RIETUMSOMOA-KAPZEME 76:102
RIETUMSOMOA-KURZEME 76:144
BASUTOLENDA-KAPZEME 79:93
SALASPILS-UGUNSZEME 8:128
STOKHOLMA-UGUNSZEME 8:130
KAPZEME-MARIENBURGA 82:80
UGUNSZEME-TJANDZINA 97:82
TAIZEME-VIRTENBERGA 110:83
HAMBERSAIDA-KURZEME 84:136
UGUNSZEME-MURMANSKA 140:90
KAPZEME-OREHOZUJEVA 127:92
ARTJOMONSKA-KURZEME 92:95
PORTONOVA-UGUNSZEME 93:122
TAIZEME-KENSINGTONA 131:93
MARIANNAS-UGUNSZEME 94:111
SKIRSNEMUNE-KURZEME 95:122
VIRTENBERGA-KURZEME 96:130
PORTOPRENSA-KURZEME 99:109
TAIZEME-SIMFEROPOLE 111:99
KALIFORNIJA-KAPZEME 99:128
KEMEROVA-PETROPAVLOVSKA 147:68
BALTEZERS-ARTJOMONSKA 102:1
BALTEZERS-VIRTENBERGA 137:114
SIMFEROPOLE-BALTEZERS 116:141
BALTEZERS-KALIFORNIJA 144:128
BALTEZERS-HAMBERSAIDA 75:24
VESTLOTJANA-BALTEZERS 31:141
BALTEZERS-PORTOPRENSA 97:40
SKIRSNEMUNE-BALTEZERS 41:105
BALTEZERS-SJERANEVADA 99:45
NAUJAMIESTE-BALTEZERS 48:101
BALTEZERS-SENTLORENSA 124:50
KIROVOGRADA-BALTEZERS 54:63
HAIDARABADA-BALTEZERS 55:101
BALTEZERS-OREHOZUJEVA 114:60
BALTEZERS-MARIENBURGA 124:62
BASUTOLENDA-BALTEZERS 62:141
BALTEZERS-KAUGURCIEMS 77:64
BALTEZERS-MINEAPOLISA 92:64
BALTEZERS-RIETUMSOMOA 118:73
KENSINGTONA-BALTEZERS 84:96
TAMMERFORSA-BALTEZERS 86:143
SENTLORENSA-ZAMBEZI 1:21
ZAMBEZI-SJERANEVADA 135:103
BASUTOLENDA-ZAMBEZI 106:123
SIMFEROPOLE-ZAMBEZI 11:131
ZAMBEZI-HAMBERSAIDA 77:12
ZAMBEZI-PORTOPRENSA 131:120
ZAMBEZI-KALIFORNIJA 146:137
VIRTENBERGA-ZAMBEZI 17:52
MARIENBURGA-ZAMBEZI 2:106
HAIDARABADA-ZAMBEZI 21:124
ZAMBEZI-ARTJOMONSKA 38:22
OREHOZUJEVA-ZAMBEZI 23:101
ZAMBEZI-KAUGURCIEMS 54:29
RIETUMSOMOA-ZAMBEZI 3:144
ZAMBEZI-TAMMERFORSA 126:4
ZAMBEZI-NAUJAMIESTE 78:68
VESTLOTJANA-ZAMBEZI 7:56
SKIRSNEMUNE-ZAMBEZI 70:126
KIROVOGRADA-ZAMBEZI 71:135
ZAMBEZI-MINEAPOLISA 85:83
KENSINGTONA-ZAMBEZI 93:104
PETROPAVLOVSKA-DEMOINA 129:137
PALEMONA-KRASNOVODSKA 63:41
KENTERBERIJA-PALEMONA 56:116
PALEMONA-BALTKRIEVIJA 132:58
STARAPLANINA-PALEMONA 90:100
STARAPLANINA-SKIEMONE 121:126
SKIEMONE-KENTERBERIJA 137:20
BALTKRIEVIJA-SKIEMONE 20:96
SKIEMONE-KRASNOVODSKA 81:59
BENDERI-KAUGURCIEMS 0:124
KAUGURCIEMS-LAUTERE 140:100
POCIEMS-RIETUMSOMOA 148:127
KATVARI-KAUGURCIEMS 140:145
SIMFEROPOLE-POCIEMS 16:24
POCIEMS-KALIFORNIJA 52:21
SJERANEVADA-POCIEMS 24:92
KAUGURCIEMS-TOSMARE 49:28
HAIDARABADA-POCIEMS 29:111
KAUGURCIEMS-LAUDERI 106:30
POCIEMS-BASUTOLENDA 77:30
VAIVARI-KAUGURCIEMS 31:44
OREHOZUJEVA-POCIEMS 34:145
POCIEMS-KENSINGTONA 39:36
KAUGURCIEMS-BOSFORS 58:41
MARIENBURGA-POCIEMS 47:73
POCIEMS-KIROVOGRADA 51:49
KAUGURCIEMS-KONAKRI 127:52
POCIEMS-PORTOPRENSA 115:57
HAMBERSAIDA-POCIEMS 57:90
KAUGURCIEMS-CIECERE 148:62
SKIRSNEMUNE-POCIEMS 63:135
POCIEMS-VESTLOTJANA 68:65
KAUGURCIEMS-TAMPERE 70:7
POCIEMS-TAMMERFORSA 81:73
KANGARI-KAUGURCIEMS 75:129
VIRTENBERGA-POCIEMS 8:80
MINEAPOLISA-POCIEMS 84:121
KAUGURCIEMS-POCIEMS 91:126
POCIEMS-SENTLORENSA 134:96
MARTINIKA-SKIRSNEMUNE 0:99
BORNHOLMA-SKIRSNEMUNE 10:25
VENTSPILS-SKIRSNEMUNE 101:136
BREDFORDA-SKIRSNEMUNE 113:130
SKIRSNEMUNE-PORTONOVA 117:115
SKIRSNEMUNE-MARIANNAS 123:115
PRETORIJA-SKIRSNEMUNE 120:150
SKIRSNEMUNE-VIKTORIJA 126:123
SKAGERAKS-SKIRSNEMUNE 13:90
TAGANROGA-SKIRSNEMUNE 14:134
FLANDRIJA-SKIRSNEMUNE 20:33
KRUSTPILS-SKIRSNEMUNE 27:40
PORTORIKO-SKIRSNEMUNE 29:33
TERNOPOLE-SKIRSNEMUNE 29:41
KALVARIJA-SKIRSNEMUNE 3:70
INVERNESA-SKIRSNEMUNE 3:82
ZVIEDRIJA-SKIRSNEMUNE 30:37
SKIRSNEMUNE-HONDURASA 72:33
NOVGORODA-SKIRSNEMUNE 53:130
SKIRSNEMUNE-KILKENIJA 97:54
STOKHOLMA-SKIRSNEMUNE 57:125
KOSTARIKA-SKIRSNEMUNE 6:26
SKIRSNEMUNE-MURMANSKA 139:61
GUBERNIJA-SKIRSNEMUNE 7:71
VERAKRUSA-SKIRSNEMUNE 80:115
SKIRSNEMUNE-SALASPILS 92:81
SKIRSNEMUNE-BELGORODA 149:83
SKIRSNEMUNE-TIRASPOLE 130:90
KALABRIJA-SKIRSNEMUNE 97:119
HAIDARABADA-PASIENA 0:131
SALIENA-MARIENBURGA 19:0
KIROVOGRADA-PASIENA 0:65
PASIENA-VESTLOTJANA 81:0
PORTOPRENSA-BERGENA 10:13
VERDENA-MINEAPOLISA 145:10
SJERANEVADA-VERDENA 102:145
VESTLOTJANA-VERDENA 105:112
PASIENA-BASUTOLENDA 113:109
PASIENA-VIRTENBERGA 143:11
HAMBERSAIDA-BERGENA 11:43
SIMFEROPOLE-MUKDENA 110:148
BERGENA-MARIENBURGA 123:112
MINEAPOLISA-KARTENA 113:134
