299
SALVANA-TENESIJA 0:102
KRIEVIJA-TENESIJA 79:80
TAIZEME-SLOVAKIJA 79:9
JITLANDE-DOTMUNDA 79:93
PIEVOLGA-JAKUTIJA 8:0
SLOVAKIJA-SAFOLKA 8:105
NIKOSINA-MANHEIMA 8:110
GOTLANDE-KARLAILA 8:113
UGUNSZEME-LATVIJA 8:119
FRANCIJA-UZBEKIJA 8:120
UGUNSZEME-SAKSIJA 8:122
ABAKANA-KUDIMKARA 8:131
SLOVAKIJA-GVINEJA 8:136
SLOCENE-MONGOLIJA 8:14
MAKENZI-MIROSLAVA 8:147
KALTENE-PORTSMUTA 8:23
BERGENA-USURIJSKA 8:24
VECRIKAVA-ANGLIJA 8:25
AIZVOLGA-ARMAVIRA 8:39
LOZANNA-MIROSLAVA 8:40
MBABANE-KUSTANAJA 8:41
VILGALE-FUDZIJAMA 8:51
OREGONA-MAFEKINGA 8:60
TENESIJA-TUNISIJA 8:69
ARKANZASA-GAMBIJA 8:7
BALTEZERS-RUMBULA 8:86
DAIVANA-BARSELONA 8:9
PAROGLE-GVAJAKILA 8:97
KUSTANAJA-VERSEKA 80:104
BOBRUJSKA-BOMBEJA 80:11
NIKOSINA-KRIEVIJA 80:117
TJANDZINA-VERSEKA 80:126
GVATEMALA-TEBRIZA 80:129
PIEVOLGA-BAHREINA 80:130
FORMOZA-GAIGALAVA 80:134
TRIPOLE-MIROSLAVA 80:145
BALTIMORA-BRUNEJA 80:149
RANGUNA-BARSELONA 80:150
UDMRTIJA-FRANCIJA 80:150
LUISVILA-IGAUNIJA 80:18
PASIENA-PORTSMUTA 80:2
DETROITA-IGAUNIJA 80:22
LOKARNA-MALAIZIJA 80:3
PERLOJA-MAFEKINGA 80:30
HIROSIMA-KARLAILA 80:39
MINDANAO-LEIPCIGA 80:39
OZOLAINE-FRANCIJA 80:43
KARMELITI-MIRNIJA 80:43
MEISENE-VECRIKAVA 80:46
MAKENZI-MAFEKINGA 80:5
KUDIMKARA-TOBRUKA 80:61
GVATEMALA-FORMOZA 80:63
KVEBEKA-USURIJSKA 80:65
SLOVAKIJA-SEVILJA 80:7
PORTSMUTA-ARKTIKA 80:7
KALVENE-KUDIMKARA 80:74
TELAVIVA-AUSTRIJA 80:76
USTRONE-FUDZIJAMA 80:82
MALAIZIJA-SILMALA 80:83
AIZVOLGA-ILINOISA 80:87
KAZBEKS-VECRIKAVA 80:89
ROSTOKA-FUDZIJAMA 80:91
SLOCENE-VECBILSKA 80:97
AIZVOLGA-IGAUNIJA 81:100
KRIMULDA-ADELAIDA 81:101
PILTENE-FUDZIJAMA 81:11
MALAIZIJA-ANGLIJA 81:115
MONGOLIJA-ROSTOKA 81:121
SALVANA-KOLGUJEVA 81:122
DURBANA-BARSELONA 81:124
PALERMO-GVATEMALA 81:129
LAPZEME-BOBRUJSKA 81:13
ARIZONA-FUDZIJAMA 81:13
EGLAINE-USURIJSKA 81:142
BRAZILJA-KRIMULDA 81:149
PEDEDZE-USURIJSKA 81:15
DOMINIKA-JAKUTIJA 81:150
EGLAINE-VECBILSKA 81:19
BALTIMORA-ZAMBIJA 81:20
RUDAMINA-NIKOSINA 81:3
MONGOLIJA-NAHODKA 81:30
ETIOPIJA-TUNISIJA 81:33
NUKUALOFA-MEKSIKA 81:34
SEVERNA-NUKUALOFA 81:34
BRAZILJA-UZBEKIJA 81:37
BOBRUJSKA-TURCIJA 81:43
PIEVOLGA-ETIOPIJA 81:47
VIDZEME-ARKANZASA 81:5
LAZDIJI-MAFEKINGA 81:50
BRUKLINA-KRIEVIJA 81:51
KAZBEKS-KOLGUJEVA 81:61
MALAIZIJA-TERMEZA 81:61
BARSELONA-SAFOLKA 81:63
MALAIZIJA-AMERIKA 81:66
MONGOLIJA-KAMBIJA 81:69
KURZEME-FUDZIJAMA 81:72
ARTJOMA-FUDZIJAMA 81:73
TELAVIVA-BAIREITA 81:75
KARMELITI-NIAMEJA 81:80
LATGALE-ASUNSJONA 81:87
KENTUKIJA-KORSIKA 81:87
GVAJAKILA-AMERIKA 81:90
GVADELUPE-DAMASKA 81:90
LIVORNA-GVAJAKILA 81:92
DETROITA-NIKOSINA 81:93
TERMEZA-ASUNSJONA 81:94
BERGENA-GVAJAKILA 81:95
KAIBALA-BOBRUJSKA 81:95
NIKOSINA-IGAUNIJA 82:11
LOKARNA-ASUNSJONA 82:116
MALAIZIJA-KAIBALA 82:119
CINCINATI-RUMBULA 82:123
MAUNALOA-KRIEVIJA 82:129
KIZILKUMS-BOMBEJA 82:129
VALGUNDE-ARMAVIRA 82:130
LUCERNA-MONGOLIJA 82:132
SAIGONA-SLOVAKIJA 82:136
PIEVOLGA-LUISVILA 82:145
KUDIMKARA-GAMBIJA 82:24
VILGALE-USURIJSKA 82:28
VECBILSKA-KAMBIJA 82:3
ARKANZASA-SAFOLKA 82:33
LIVORNA-BALTIMORA 82:33
CARNIKAVA-JAMAIKA 82:36
PLOVDIVA-UDMRTIJA 82:46
VIDUKLE-VECRIKAVA 82:48
KARMELITI-GVINEJA 82:50
MANHEIMA-GROZNIJA 82:50
PLOVDIVA-IGNALINA 82:51
FUDZIJAMA-SEVILJA 82:55
PUIKULE-KOLGUJEVA 82:6
ZAMBEZI-SLOVAKIJA 82:68
CINCINATI-OBELIJA 82:7
MINDANAO-UDMRTIJA 82:70
LEIPCIGA-ADELAIDA 82:70
GVATEMALA-PAKROJA 82:75
PIEVOLGA-ROZALIMA 82:76
KOLGUJEVA-GVINEJA 82:79
SEVERNA-BALTIMORA 82:8
UGUNSZEME-OBELIJA 82:88
BERGENA-CARNIKAVA 82:89
SAULAINE-TENESIJA 82:93
DEMOINA-VAIOMINGA 82:96
ABAKANA-PORTSMUTA 83:0
GAIGALAVA-ARKTIKA 83:103
KANTONA-MIROSLAVA 83:127
SIESIKI-CARNIKAVA 83:132
METELIS-VAIOMINGA 83:137
DAIVANA-KENTUKIJA 83:139
TOTNEMA-BOBRUJSKA 83:142
VIETALVA-KARLAILA 83:149
FORMOZA-VECBILSKA 83:19
BOSTONA-GVATEMALA 83:19
VIDZEME-CARNIKAVA 83:26
MAUNALOA-BEREZINA 83:29
GAIGALAVA-PERLOJA 83:33
SIESIKI-VAIOMINGA 83:37
MILVOKI-ASUNSJONA 83:40
MIROSLAVA-KAPSUKA 83:45
RAVENNA-BALTIMORA 83:46
BOSTONA-BALTIMORA 83:49
KUDIMKARA-SAFOLKA 83:50
DOTMUNDA-KARLAILA 83:53
SIDNEJA-VAIOMINGA 83:58
SALIENA-KENTUKIJA 83:68
BOBRUJSKA-PAKROJA 83:69
VECBILSKA-BRATSKA 83:7
CARNIKAVA-BRUNEJA 83:76
MBABANE-FUDZIJAMA 83:8
HAIFONA-VAIOMINGA 83:8
FLORENCE-IGNALINA 83:81
CEILONA-ASUNSJONA 83:82
ARKANZASA-VERSEKA 83:96
HARTUMA-MIROSLAVA 83:96
PUIKULE-VAIOMINGA 84:116
KAPSUKA-ASUNSJONA 84:119
MALAIZIJA-GVINEJA 84:120
MAZSALACA-KVEBEKA 84:128
JITLANDE-BAHREINA 84:130
BALTEZERS-PAKROJA 84:137
LATGALE-CARNIKAVA 84:138
VECBILSKA-KVEBEKA 84:145
KIZILKUMS-KAPSUKA 84:146
IGNALINA-MANHEIMA 84:146
CARNIKAVA-DAMASKA 84:147
LUISVILA-AUSTRIJA 84:19
OZOLAINE-KRIEVIJA 84:2
KUDIMKARA-MAJORKA 84:20
BARSELONA-PERLOJA 84:21
GAIGALAVA-LATVIJA 84:22
VERDENA-ARKANZASA 84:42
KOLGUJEVA-LATVIJA 84:44
KALTENE-GVAJAKILA 84:5
ZAMBEZI-VAIOMINGA 84:50
BAHREINA-BEREZINA 84:58
GVATEMALA-VERSEKA 84:60
SLOCENE-GAIGALAVA 84:63
BRRONKSA-PLOVDIVA 84:68
JITLANDE-AUSTRIJA 84:69
CARNIKAVA-GDANSKA 84:75
VECRIKAVA-KAMBIJA 84:79
KRIMULDA-UDMRTIJA 84:83
NIKOSINA-TUNISIJA 84:85
GVADELUPE-PAKROJA 84:88
KUDIMKARA-SIDNEJA 84:92
KRIEVIJA-UZBEKIJA 84:94
VESTENDE-LUISVILA 84:94
BALTIMORA-SAFOLKA 85:100
FORMOZA-MAFEKINGA 85:103
VATERLO-CARNIKAVA 85:11
MEISENE-GVAJAKILA 85:114
SLOVAKIJA-MIRNIJA 85:115
ARTJOMA-BARSELONA 85:115
VALGUNDE-DOMINIKA 85:116
PLATONE-KUDIMKARA 85:123
DUBLINA-BALTIMORA 85:123
SALIENA-PORTSMUTA 85:128
ULBROKA-ASUNSJONA 85:129
ARIZONA-USURIJSKA 85:139
GOTLANDE-KRIMULDA 85:140
TJANDZINA-SEVILJA 85:145
LUISVILA-UZBEKIJA 85:146
ARMAVIRA-GROZNIJA 85:149
RAUDONE-NUKUALOFA 85:22
SLOVAKIJA-AMERIKA 85:24
TJANDZINA-OBELIJA 85:30
GVADELUPE-SAKSIJA 85:30
PILZENE-GVAJAKILA 85:36
ARAGONA-MAZSALACA 85:36
TAIZEME-FUDZIJAMA 85:4
NIKOSINA-KARLAILA 85:40
MONGOLIJA-BOMBEJA 85:43
ARKANZASA-LATVIJA 85:44
NIKOSINA-ETIOPIJA 85:46
ARKANZASA-GDANSKA 85:60
TJANDZINA-SAKSIJA 85:63
PORTSMUTA-KAMBIJA 85:77
MAZSALACA-NAHODKA 85:77
SALIENA-BARSELONA 85:8
ARTJOMA-VECRIKAVA 85:80
GVADELUPE-GORKIJA 85:86
SALIENA-VECBILSKA 85:92
GAIGALAVA-SIDNEJA 85:93
TELAVIVA-LUISVILA 85:93
GVATEMALA-SILMALA 86:104
PORTSMUTA-NIAMEJA 86:105
GAIGALAVA-NAHODKA 86:111
PALERMO-NUKUALOFA 86:119
TEBRIZA-NUKUALOFA 86:121
SLOCENE-SLOVAKIJA 86:124
VERDENA-MALAIZIJA 86:126
KARMELITI-DAMASKA 86:143
MONGOLIJA-GORKIJA 86:2
NUKUALOFA-AMERIKA 86:20
KUSTANAJA-GAMBIJA 86:21
MEISENE-NUKUALOFA 86:26
HAVANNA-USURIJSKA 86:27
USURIJSKA-GVINEJA 86:40
KAZBEKS-CARNIKAVA 86:42
USTRONE-CARNIKAVA 86:44
PILZENE-KUSTANAJA 86:49
ROZALIMA-LUISVILA 86:49
KIZILKUMS-OBELIJA 86:53
ASUNSJONA-PERLOJA 86:55
JITLANDE-BRUKLINA 86:55
KALTENE-MAFEKINGA 86:56
BAIREITA-IGNALINA 86:58
ILINOISA-TENESIJA 86:64
HUDZONA-ARKANZASA 86:65
BARSELONA-GVINEJA 86:66
SEVERNA-GVATEMALA 86:73
VALGUNDE-DETROITA 86:78
FLORENCE-VIETALVA 86:89
KOLGUJEVA-ZAMBIJA 86:89
TAIZEME-BARSELONA 86:95
LATGALE-USURIJSKA 86:96
LATGALE-VECRIKAVA 87:0
UGUNSZEME-BOMBEJA 87:1
MENORKA-MAFEKINGA 87:10
PLOVDIVA-ILINOISA 87:101
KENTUKIJA-ULBROKA 87:102
USURIJSKA-BALTIJA 87:102
TERMEZA-USURIJSKA 87:104
HERSONA-BOBRUJSKA 87:104
KALTENE-VAIOMINGA 87:104
KARTENA-ARKANZASA 87:112
UGUNSZEME-KVEBEKA 87:114
CINCINATI-KAJENNA 87:116
KUDIMKARA-BOMBEJA 87:124
USTRONE-MAZSALACA 87:130
LOKARNA-KENTUKIJA 87:136
DAMASKA-MAFEKINGA 87:143
MINHENE-ARKANZASA 87:144
BOSTONA-BARSELONA 87:147
LOZANNA-KOLGUJEVA 87:19
VECRIKAVA-SERBIJA 87:22
DETROITA-KARLAILA 87:28
BARSELONA-GDANSKA 87:31
GDANSKA-KOLGUJEVA 87:38
BENGAZI-KUDIMKARA 87:39
CINCINATI-LATVIJA 87:40
KIZILKUMS-MAJORKA 87:42
IGNALINA-IGAUNIJA 87:53
VECBILSKA-SERBIJA 87:56
VECBILSKA-TURCIJA 87:58
UGUNSZEME-PAKROJA 87:64
BENGAZI-USURIJSKA 87:69
INDRAJI-VAIOMINGA 87:81
CARNIKAVA-SIDNEJA 87:88
LONDONA-MIROSLAVA 87:88
KARLAILA-DOMINIKA 87:96
UZBEKIJA-TUNISIJA 87:98
SALVANA-PORTSMUTA 88:0
VECRIKAVA-KAPSUKA 88:0
BALTEZERS-MAJORKA 88:10
TALLINA-MAZSALACA 88:100
MINHENE-BARSELONA 88:110
TRAPENE-BOBRUJSKA 88:111
BALTIMORA-MENORKA 88:118
UKRAINA-GVATEMALA 88:121
TAIVANA-ASUNSJONA 88:128
DEMOINA-MALAIZIJA 88:135
MAUNALOA-PIEVOLGA 88:135
FLORENCE-ADELAIDA 88:136
HERSONA-BALTIMORA 88:139
MINDANAO-BRRONKSA 88:14
HARBINA-PORTSMUTA 88:140
GVAJAKILA-MIRNIJA 88:17
SAULAINE-ADELAIDA 88:17
PENKULE-GAIGALAVA 88:29
PLOVDIVA-DETROITA 88:32
VECBILSKA-AMERIKA 88:38
KRIMULDA-NIKOSINA 88:41
BRISELE-SLOVAKIJA 88:43
ETIOPIJA-TENESIJA 88:43
GAIGALAVA-KVEBEKA 88:45
HARTUMA-USURIJSKA 88:47
PILTENE-NUKUALOFA 88:48
CARNIKAVA-LATVIJA 88:53
KARMELITI-GRUZIJA 88:56
MIROSLAVA-ULBROKA 88:57
BARSELONA-SILMALA 88:60
ISIKULS-SLOVAKIJA 88:61
KUSTANAJA-LOZANNA 88:62
DURBANA-VECRIKAVA 88:65
ABADANA-CARNIKAVA 88:67
GVATEMALA-KAMPALA 88:69
GARKALNE-DETROITA 88:75
BOSTONA-MIROSLAVA 88:8
KUSTANAJA-BOMBEJA 88:89
KATMANDU-DETROITA 88:91
ZAMBEZI-ASUNSJONA 88:96
MAKENZI-KOLGUJEVA 89:1
TOTNEMA-CARNIKAVA 89:10
PENKULE-MIROSLAVA 89:100
GVATEMALA-MAJORKA 89:101
VESTENDE-KRIEVIJA 89:103
VALGUNDE-GROZNIJA 89:105
GAIGALAVA-VIDAUJA 89:109
CARNIKAVA-GAMBIJA 89:11
HERSONA-VECBILSKA 89:110
PIEVOLGA-KRIEVIJA 89:115
KATMANDU-TELAVIVA 89:127
RAUDONE-USURIJSKA 89:136
MEISENE-MAZSALACA 89:14
GVADELUPE-BOMBEJA 89:140
MALAIZIJA-KVEBEKA 89:140
KAPSUKA-FUDZIJAMA 89:20
MINDANAO-KRIEVIJA 89:24
DOMINIKA-TENESIJA 89:24
MINHENE-FUDZIJAMA 89:25
ARAGONA-MALAIZIJA 89:25
PENKULE-KUDIMKARA 89:31
ARKANZASA-ANGLIJA 89:36
VIDZEME-KUDIMKARA 89:4
POLOCKA-USURIJSKA 89:42
VILGALE-KENTUKIJA 89:47
VALGUNDE-TELAVIVA 89:47
PILZENE-CARNIKAVA 89:47
ZENTENE-KENTUKIJA 89:47
MAZSALACA-DAMASKA 89:5
JAKUTIJA-TENESIJA 89:50
MONGOLIJA-KAMPALA 89:55
KARMELITI-GAMBIJA 89:57
GORKIJA-VAIOMINGA 89:59
MAKENZI-GAIGALAVA 89:68
CINCINATI-SAKSIJA 89:69
CINCINATI-JERSIKA 89:76
GULBENE-TJANDZINA 89:83
OREGONA-BALTIMORA 89:85
ARKANZASA-OBELIJA 89:86
PILZENE-MAZSALACA 89:90
VIDZEME-SLOVAKIJA 89:93
LAZDONA-PORTSMUTA 9:108
HERSONA-MALAIZIJA 9:113
LOZANNA-VAIOMINGA 9:118
GDANSKA-VAIOMINGA 9:119
HUDZONA-BOBRUJSKA 9:119
DEMOINA-VECBILSKA 9:12
DUBLINA-MONGOLIJA 9:125
GARKALNE-BAIREITA 9:125
MONGOLIJA-BRUNEJA 9:126
UGUNSZEME-TEBRIZA 9:127
CARNIKAVA-TOMBUKA 9:128
KANTONA-BALTIMORA 9:135
VESTENDE-TUNISIJA 9:143
VIETALVA-RUDAMINA 9:146
PILTENE-KUSTANAJA 9:149
HARBINA-MIROSLAVA 9:15
VESTENDE-UZBEKIJA 9:150
KAPZEME-VECRIKAVA 9:23
MBABANE-GAIGALAVA 9:24
TRAPENE-PORTSMUTA 9:31
BALTEZERS-KAMPALA 9:37
CINCINATI-ZAMBIJA 9:37
KIZILKUMS-BALTIJA 9:41
JITLANDE-NIKOSINA 9:43
TAIVANA-CARNIKAVA 9:64
BAIREITA-ADELAIDA 9:65
ARKANZASA-NAHODKA 9:67
ARAGONA-KOLGUJEVA 9:68
VERDENA-VECBILSKA 9:69
ASUNSJONA-BOMBEJA 9:69
KANTONA-MONGOLIJA 9:83
PORTSMUTA-JERSIKA 9:83
GARKALNE-KARLAILA 9:85
KANTONA-MALAIZIJA 9:87
HUDZONA-BALTIMORA 9:94
TOBRUKA-FUDZIJAMA 9:96
KENTUKIJA-BRATSKA 9:97
TOMBUKA-MAFEKINGA 90:109
MAZSALACA-MIRNIJA 90:116
BRRONKSA-KRIEVIJA 90:121
SEVERNA-KUDIMKARA 90:121
BRISELE-USURIJSKA 90:122
USTRONE-BOBRUJSKA 90:123
NEAPOLE-MAZSALACA 90:125
MILVOKI-VAIOMINGA 90:126
USURIJSKA-TURCIJA 90:136
TELAVIVA-HIROSIMA 90:136
TEBRIZA-SLOVAKIJA 90:137
KRIMULDA-GROZNIJA 90:139
VECRIKAVA-OBELIJA 90:139
TOTNEMA-VAIOMINGA 90:143
PEDEDZE-MONGOLIJA 90:145
PASIENA-CARNIKAVA 90:149
KARLAILA-TENESIJA 90:18
CINCINATI-DUBLINA 90:25
KALVENE-KOLGUJEVA 90:39
BALTIJA-VAIOMINGA 90:4
CARNIKAVA-GVINEJA 90:40
KENTUKIJA-GRUZIJA 90:43
GULBENE-USURIJSKA 90:45
KAIBALA-KUDIMKARA 90:46
RAVENNA-MONGOLIJA 90:48
MISISIPI-LEIPCIGA 90:65
ASUNSJONA-GVINEJA 90:73
MINDANAO-MANHEIMA 90:74
MAKENZI-GVAJAKILA 90:82
BALTIMORA-SAKSIJA 91:100
SEVERNA-CARNIKAVA 91:108
UGUNSZEME-POLOCKA 91:109
PLOVDIVA-ETIOPIJA 91:110
KUSTANAJA-ARAGONA 91:110
JITLANDE-UDMRTIJA 91:113
KANTONA-PORTSMUTA 91:114
MARVELE-GVAJAKILA 91:120
FLORENCE-BAIREITA 91:120
SAFOLKA-FUDZIJAMA 91:125
BALTEZERS-TOMBUKA 91:126
RUMBULA-CARNIKAVA 91:133
ARKANZASA-AMERIKA 91:134
IGNALINA-ROZALIMA 91:14
SLOVAKIJA-MENORKA 91:140
BRAZILJA-IGAUNIJA 91:141
ILINOISA-DOMINIKA 91:142
HAVANNA-PORTSMUTA 91:146
KARLAILA-GROZNIJA 91:147
JAMAIKA-FUDZIJAMA 91:148
PASIENA-USURIJSKA 91:149
TALLINA-KENTUKIJA 91:18
VECRIKAVA-ZAMBIJA 91:25
KUSTANAJA-LUCERNA 91:34
USTRONE-ASUNSJONA 91:38
CINCINATI-ALABAMA 91:4
LAPZEME-FUDZIJAMA 91:42
BAIREITA-KRIEVIJA 91:43
JERSIKA-MAFEKINGA 91:45
BOBRUJSKA-GORKIJA 91:48
ALABAMA-ASUNSJONA 91:55
KIZILKUMS-MENORKA 91:59
BALTIMORA-TURCIJA 91:69
ABADANA-BARSELONA 91:7
ALABAMA-GVAJAKILA 91:7
HARBINA-TJANDZINA 91:70
USURIJSKA-BRUNEJA 91:71
GRUZIJA-MAFEKINGA 91:73
MALAIZIJA-FORMOZA 91:73
PAROGLE-FUDZIJAMA 91:73
OZOLAINE-MANHEIMA 91:74
PILZENE-BARSELONA 91:80
KARMELITI-BRUNEJA 91:81
KUSTANAJA-JAMAIKA 91:83
KENTUKIJA-SKOTIJA 91:94
ROZALIMA-AUSTRIJA 91:94
LATGALE-KENTUKIJA 91:95
TEBRIZA-MONGOLIJA 91:98
MALAIZIJA-HARTUMA 91:99
VERDENA-GAIGALAVA 92:1
PASIENA-GAIGALAVA 92:106
SALIENA-SLOVAKIJA 92:115
LATGALE-KOLGUJEVA 92:117
PALERMO-MONGOLIJA 92:129
SAIGONA-MALAIZIJA 92:130
ASUNSJONA-ZAMBIJA 92:134
GARKALNE-ARMAVIRA 92:146
BARSELONA-BRATSKA 92:148
CEILONA-PORTSMUTA 92:148
KAPZEME-GAIGALAVA 92:15
GVATEMALA-MEKSIKA 92:16
LAPZEME-GVATEMALA 92:20
MELNSILS-GROZNIJA 92:30
HAVANNA-KOLGUJEVA 92:36
BRAZILJA-MANHEIMA 92:37
OGLAINE-VECRIKAVA 92:45
ABAKANA-BALTIMORA 92:45
KAMBIJA-VAIOMINGA 92:46
NANKINA-KOLGUJEVA 92:5
GARONNA-GVAJAKILA 92:51
MIROSLAVA-KAMPALA 92:64
GVATEMALA-DAMASKA 92:64
PILTENE-BOBRUJSKA 92:65
VECRIKAVA-SEVILJA 92:73
TERMEZA-MAZSALACA 92:82
MAUNALOA-BAIREITA 92:84
ARIZONA-KOLGUJEVA 92:93
KARMELITI-ZAMBIJA 92:95
MISISIPI-UZBEKIJA 93:1
CEILONA-VAIOMINGA 93:103
BOBRUJSKA-SAKSIJA 93:103
KURZEME-MAFEKINGA 93:104
TOBRUKA-BOBRUJSKA 93:105
ILINOISA-GROZNIJA 93:121
PIEVOLGA-TUNISIJA 93:121
HUDZONA-VECRIKAVA 93:124
MEISENE-ARKANZASA 93:128
RANGUNA-TJANDZINA 93:133
MAUNALOA-LUISVILA 93:133
VECBILSKA-DAMASKA 93:14
GAMBIJA-MAFEKINGA 93:14
BALTIMORA-NAHODKA 93:14
GVADELUPE-LATVIJA 93:2
TRAPENE-ASUNSJONA 93:23
RUMBULA-BOBRUJSKA 93:3
HUDZONA-MAFEKINGA 93:30
PLOVDIVA-LEIPCIGA 93:37
BALTIMORA-RUMBULA 93:39
NANKINA-USURIJSKA 93:41
MINHENE-VECRIKAVA 93:46
GVATEMALA-SIDNEJA 93:62
BARSELONA-MIRNIJA 93:69
KUSTANAJA-ANGLIJA 93:77
DOMINIKA-TUNISIJA 93:78
VIETALVA-TUNISIJA 93:81
ABAKANA-VECBILSKA 93:83
BRAZILJA-GROZNIJA 93:98
RAVENNA-GAIGALAVA 94:102
OGLAINE-KUDIMKARA 94:104
GARKALNE-IGAUNIJA 94:105
MAJORKA-FUDZIJAMA 94:111
GARONNA-GVATEMALA 94:113
KAPZEME-FUDZIJAMA 94:117
BALTIMORA-GDANSKA 94:122
FUDZIJAMA-GAMBIJA 94:126
KUSTANAJA-KAPSUKA 94:136
TJANDZINA-SKOTIJA 94:144
VERDENA-KENTUKIJA 94:16
LOKARNA-NUKUALOFA 94:2
LONDONA-KENTUKIJA 94:37
BRISELE-VECRIKAVA 94:39
KURZEME-VECBILSKA 94:56
KOLGUJEVA-PERLOJA 94:61
ARKANZASA-MIRNIJA 94:61
KALVENE-MAFEKINGA 94:67
VIETALVA-LEIPCIGA 94:68
NEAPOLE-KOLGUJEVA 94:7
HUDZONA-KENTUKIJA 94:74
ARMAVIRA-MANHEIMA 94:78
LUISVILA-GROZNIJA 94:80
BALTEZERS-JAMAIKA 94:86
MISISIPI-UDMRTIJA 94:88
KAJENNA-VECBILSKA 94:92
PASIENA-VECRIKAVA 94:93
BAHREINA-LUISVILA 95:101
ILMENIS-MAFEKINGA 95:102
KUSTANAJA-VIDAUJA 95:110
KUDIMKARA-GORKIJA 95:111
KAJENNA-GAIGALAVA 95:114
SLOVAKIJA-JERSIKA 95:115
VIETALVA-PLOVDIVA 95:118
DAIVANA-USURIJSKA 95:124
SEVERNA-KOLGUJEVA 95:127
BRUKLINA-IGAUNIJA 95:129
HAIFONA-BALTIMORA 95:13
TAIVANA-KUDIMKARA 95:130
EGLAINE-KOLGUJEVA 95:132
NUKUALOFA-GRUZIJA 95:135
KUDIMKARA-KAPSUKA 95:145
USTRONE-PORTSMUTA 95:148
ILINOISA-IGAUNIJA 95:148
MINHENE-VAIOMINGA 95:15
BOSTONA-VECBILSKA 95:22
DETROITA-ARMAVIRA 95:26
SILMALA-KOLGUJEVA 95:36
VILGALE-CARNIKAVA 95:4
KAMPALA-SLOVAKIJA 95:40
MINHENE-MIROSLAVA 95:40
LUCERNA-CARNIKAVA 95:46
HARBINA-GAIGALAVA 95:49
PENKULE-KOLGUJEVA 95:54
UGUNSZEME-RUMBULA 95:60
RANGUNA-MALAIZIJA 95:68
GVAJAKILA-PERLOJA 95:70
PUIKULE-KUDIMKARA 95:76
KATMANDU-ETIOPIJA 95:82
KARMELITI-LATVIJA 95:88
ARMAVIRA-UZBEKIJA 95:88
KARMELITI-KVEBEKA 95:93
KARMELITI-BALTIJA 95:98
BRRONKSA-ARMAVIRA 96:1
RANGUNA-USURIJSKA 96:102
GVATEMALA-ALABAMA 96:103
KALTENE-SLOVAKIJA 96:107
LATVIJA-VAIOMINGA 96:122
KUSTANAJA-ULBROKA 96:129
GVAJAKILA-BALTIJA 96:132
PORTSMUTA-HARTUMA 96:143
BALTEZERS-ULBROKA 96:145
KIZILKUMS-GAMBIJA 96:24
TRIPOLE-GVAJAKILA 96:27
HERSONA-USURIJSKA 96:39
MAKENZI-KUDIMKARA 96:39
KATMANDU-BRUKLINA 96:39
CARNIKAVA-ANGLIJA 96:40
TRIPOLE-MAFEKINGA 96:45
ISIKULS-BOBRUJSKA 96:48
VALGUNDE-TUNISIJA 96:49
FLORENCE-PIEVOLGA 96:51
MBABANE-PORTSMUTA 96:55
KUSTANAJA-VERDENA 96:56
ASUNSJONA-GRUZIJA 96:58
MEISENE-BOBRUJSKA 96:66
VIDUKLE-MAZSALACA 96:73
MAUNALOA-JAKUTIJA 96:75
ARIZONA-MALAIZIJA 96:8
MAUNALOA-ADELAIDA 96:81
BARSELONA-KAIBALA 96:84
BALTEZERS-ROSTOKA 96:84
BALTEZERS-GRUZIJA 96:85
VECBILSKA-GORKIJA 96:85
HARTUMA-FUDZIJAMA 97:102
GAIGALAVA-ULBROKA 97:105
VERSEKA-ASUNSJONA 97:109
SEVERNA-SLOVAKIJA 97:11
TALLINA-TJANDZINA 97:11
SEVERNA-ASUNSJONA 97:111
LOKARNA-GVAJAKILA 97:115
SALONIKI-KRIEVIJA 97:125
BARSELONA-RUMBULA 97:125
INDRAJI-MAFEKINGA 97:126
NEAPOLE-BOBRUJSKA 97:129
ARAGONA-MAFEKINGA 97:132
ARKANZASA-ARTJOMA 97:138
ANGLIJA-VAIOMINGA 97:147
BOSTONA-NUKUALOFA 97:15
BRRONKSA-RUDAMINA 97:19
MALAIZIJA-NAHODKA 97:20
MUKDENA-GVATEMALA 97:21
ALABAMA-MAFEKINGA 97:22
TJANDZINA-JERSIKA 97:24
MALAIZIJA-SEVILJA 97:28
MUKDENA-VAIOMINGA 97:35
GVADELUPE-PERLOJA 97:40
VERSEKA-VAIOMINGA 97:40
BALTEZERS-ALABAMA 97:40
TJANDZINA-PERLOJA 97:43
KATMANDU-JAKUTIJA 97:44
BRRONKSA-BAIREITA 97:46
PALERMO-KOLGUJEVA 97:49
NANKINA-GVAJAKILA 97:59
RUMBULA-FUDZIJAMA 97:60
PILZENE-MAFEKINGA 97:63
DOTMUNDA-BEREZINA 97:73
VECRIKAVA-ARKTIKA 97:73
GARKALNE-UDMRTIJA 97:74
KURZEME-MONGOLIJA 97:78
MEISENE-MONGOLIJA 97:81
GULBENE-KUSTANAJA 97:90
GULBENE-KENTUKIJA 97:92
AIZVOLGA-TUNISIJA 97:96
MBABANE-ARKANZASA 97:98
BRISELE-MAFEKINGA 98:104
PAROGLE-CARNIKAVA 98:105
TRAPENE-FUDZIJAMA 98:105
LUISVILA-FRANCIJA 98:110
RAUDONE-ARKANZASA 98:112
KANTONA-VECRIKAVA 98:125
KENTUKIJA-AMERIKA 98:129
