100
SINSITIJA-LIZUMS 0:122
KUVEITA-LIZUMS 115:69
KRAKATAU-LIZUMS 15:83
TORONTO-VAINUTA 150:1
VAINUTA-TEKSASA 150:102
BIZERTA-ATLANTA 150:113
MACESTA-KINROSA 150:127
TRIESTE-MACESTA 150:137
ATLANTA-LAPLATA 150:139
EIFRATA-LAPLATA 150:16
KALKUTA-DORSETA 150:27
PRIPETE-KANZASA 150:28
PLIMUTA-KUZBASS 150:31
VAINUTA-KANZASA 150:40
TRIESTE-KINROSA 150:70
PRIPETE-EIFRATA 150:8
ARARATS-UTREHTA 150:84
ATLANTA-VAINUTA 150:89
ALATAU-SOVETSKA 150:91
KARPATI-SASEKSA 16:29
KAUNATA-TUKUMS 116:81
BEIRUTA-VEZUVS 117:104
KALKUTA-SASEKSA 17:116
TAUNUSA-LIZUMS 117:145
MACESTA-ENGELSA 17:15
KIROVSKA-LIZUMS 17:4
MAPUTU-NEBRASKA 17:46
KUTAISI-MANAUSA 17:65
DUBULTI-BEIRUTA 17:69
NUKUSU-KUMPOTE 117:70
AIZPUTE-PEIPUSS 17:9
KUMPOTE-VEZUVS 117:92
KUMPOTE-ENGELSA 18:112
BEBRUSI-TEKSASA 18:132
SALANTA-VALLETA 18:139
VAINUTA-VENERS 118:20
VAINUTA-KUZBASS 18:29
KUMPOTE-KINROSA 18:34
EVERESTS-VENERS 18:43
SARANSKA-ALTAJS 18:48
MEMFISA-VEZUVS 118:62
LAPLATA-MANAUSA 18:75
NUKUSU-BRJANSKA 18:86
KALKUTA-BEIRUTA 18:9
KUZBASS-VEZUVS 119:112
MAPUTU-DONBASS 119:125
MACESTA-ELBRUSS 19:135
SASEKSA-MADRASA 19:141
TBILISI-TAUNUSA 19:141
PLIMUTA-VALLETA 19:16
PEIPUSS-SANHOSE 19:31
EIFRATA-KAUNATA 19:86
ERFURTE-SASEKSA 19:96
MAPUTU-BIZERTA 32:116
TRIESTE-VENERS 62:124
ALATAU-LIZUMS 142:125
KUMPOTE-LIZUMS 32:129
DONBASS-VEZUVS 82:137
BEBRUSI-LIZUMS 82:14
TRIESTE-TUKUMS 22:148
PLIMUTA-MADRASA 2:150
AIZPUTE-VORKUTA 2:21
NUKUSU-TARENTO 72:28
ALATAU-KUZBASS 52:31
ERFURTE-TUKUMS 42:34
NUKUSU-KAUNATA 62:34
MAPUTU-KALKUTA 42:37
TBILISI-LIZUMS 42:45
TORONTO-SANHOSE 2:53
SASEKSA-VEZUVS 32:55
TBILISI-TUKUMS 62:55
BIZERTA-TUKUMS 22:72
AIZPUTE-KANZASA 2:81
NUKUSU-SANHOSE 92:83
KUTAISI-VEZUVS 82:95
LAPLATA-MACESTA 20:101
KUTAISI-TBILISI 20:125
LUGANSKA-ALTAJS 20:145
AIZPUTE-PRIPETE 20:22
KANZASA-TEKSASA 20:3
KUZBASS-VENERS 120:44
KANZASA-ALTAJS 120:51
TEKSASA-LIZUMS 120:82
AIZPUTE-ALTAJS 121:0
MAPUTU-TOLJATI 121:125
ALATAU-KIROVSKA 21:133
KANZASA-VEZUVS 121:27
ALATAU-KARPATI 121:33
MAPUTU-LAPLATA 121:43
VALLETA-KINROSA 21:50
SANHOSE-ALTAJS 121:57
MAPUTU-IRKUTSKA 21:58
MAPUTU-SOVETSKA 21:63
PLIMUTA-KAUNATA 21:78
KARPATI-TRIESTE 21:79
VALLETA-DORSETA 21:81
MAPUTU-ALAUKSTS 21:94
KUMPOTE-KUVEITA 22:104
ANGARSKA-VEZUVS 22:11
DUBULTI-MADRASA 22:133
TOLJATI-KUMPOTE 22:28
PLIMUTA-VENERS 122:36
VAINUTA-MADRASA 22:38
HOLIVUDA-MAPUTU 22:71
TORONTO-KARPATI 22:77
KUMPOTE-PRIPETE 22:83
KUMPOTE-VORKUTA 22:84
UTREHTA-TAUNUSA 23:123
SALANTA-UTREHTA 23:149
KAUNATA-VORKUTA 23:15
ALATAU-VALLETA 123:26
ARARATS-ENGELSA 23:54
LAPLATA-KAUNATA 23:57
LAPLATA-KINROSA 23:62
ERFURTE-ENGELSA 23:73
LAPLATA-BEBRUSI 23:75
NUKUSU-ENGELSA 123:85
MANAUSA-VENERS 124:0
ARARATS-KUTAISI 24:102
TRIESTE-DORSETA 24:126
ARARATS-VEZUVS 124:137
HOLIVUDA-TUKUMS 24:36
TARENTO-PEIPUSS 24:71
ALATAU-SANHOSE 124:80
TARENTO-BEBRUSI 24:96
DORSETA-VENERS 125:0
KUMPOTE-PEIPUSS 25:10
NUKUSU-UTREHTA 125:108
BRJANSKA-ALTAJS 25:134
BIZERTA-KUZBASS 25:139
BEIRUTA-LIZUMS 125:145
DONBASS-MANAUSA 25:23
TORONTO-TUKUMS 125:28
SANHOSE-KANZASA 25:52
MACESTA-VAINUTA 25:65
KUZBASS-ENGELSA 25:66
VORKUTA-DONBASS 25:71
VORKUTA-KANZASA 26:105
ATLANTA-SANHOSE 26:110
TOLJATI-ATLANTA 26:121
BEIRUTA-DORSETA 26:59
SASEKSA-KINROSA 26:6
DUBULTI-KUMPOTE 26:61
ALATAU-DONBASS 126:65
NUKUSU-BELFASTA 26:78
KUZBASS-BEBRUSI 27:108
VALLETA-DONBASS 27:150
KARPATI-BIZERTA 27:16
KUTAISI-LIZUMS 127:45
KAVARSKA-VEZUVS 27:52
BIZERTA-VORKUTA 27:57
VAGADUGU-VEZUVS 27:81
PRIPETE-MACESTA 28:139
DUBULTI-TEKSASA 28:78
MAPUTU-ANGARSKA 28:80
ALATAU-BELFASTA 29:133
MACESTA-SANHOSE 29:16
KALKUTA-MACESTA 29:38
TORONTO-VORKUTA 29:38
LAPLATA-SASEKSA 29:54
BEIRUTA-BEBRUSI 29:57
KUVEITA-VORKUTA 29:82
NUKUSU-MADRASA 63:107
KAUNATA-LIZUMS 13:109
ARARATS-BIZERTA 3:12
ALATAU-AIZPUTE 33:12
MACESTA-TAUNUSA 3:120
KUVEITA-VENERS 63:120
DORSETA-LIZUMS 63:120
ERFURTE-MACESTA 3:123
ENGELSA-ALTAJS 63:125
VALLETA-TUKUMS 43:134
TAUNUSA-VEZUVS 83:137
NUKUSU-KALKUTA 43:16
VORKUTA-SANHOSE 3:2
NUKUSU-SASEKSA 63:25
KAUNATA-VEZUVS 63:26
SALANTA-TUKUMS 73:31
TORONTO-PEIPUSS 3:4
MAPUTU-KUMPOTE 73:50
SOVETSKA-LIZUMS 3:61
ALATAU-KAUNATA 33:61
MAPUTU-TRIESTE 33:62
MAPUTU-UTREHTA 73:66
NUKUSU-KUTAISI 13:72
ALATAU-KINROSA 53:80
ALATAU-TRIESTE 83:90
TRIESTE-TAUNUSA 3:95
SALANTA-ENGELSA 30:101
MACESTA-BEBRUSI 30:127
BIZERTA-KINROSA 30:13
PLIMUTA-VAINUTA 30:32
EIFRATA-KANZASA 30:35
UTREHTA-VORKUTA 30:38
KARPATI-KAUNATA 30:47
ALATAU-MEMFISA 130:52
NUKUSU-IRKUTSKA 30:55
ANGARSKA-ALTAJS 30:62
AIZPUTE-MACESTA 30:66
ALATAU-KUTAISI 130:78
KUVEITA-MEMFISA 30:87
EIFRATA-DONBASS 31:118
PLIMUTA-UTREHTA 31:138
MAPUTU-EVERESTS 31:146
BIZERTA-KALKUTA 31:44
TRIESTE-SASEKSA 31:47
DORSETA-DONBASS 31:51
VORKUTA-PEIPUSS 31:52
ELBRUSS-TBILISI 32:119
TRIESTE-EIFRATA 32:141
TOLJATI-EIFRATA 32:21
MAPUTU-SARANSKA 32:42
BIZERTA-DONBASS 32:49
KUMPOTE-SALANTA 32:55
DUBULTI-VALLETA 32:74
ALATAU-KUMPOTE 132:74
ALATAU-EIFRATA 132:76
PRIPETE-TEKSASA 32:87
AIZPUTE-KUTAISI 32:90
AIZPUTE-VEZUVS 133:12
KUMPOTE-BEIRUTA 33:141
BEBRUSI-SANHOSE 33:20
SALANTA-VEZUVS 133:23
MACESTA-VORKUTA 33:29
SALANTA-SANHOSE 33:4
MAPUTU-BELFASTA 33:54
LUGANSKA-VEZUVS 33:63
UTREHTA-PEIPUSS 33:64
ERFURTE-BIZERTA 33:97
TRIESTE-ALTAJS 133:99
BEIRUTA-TBILISI 34:137
MACESTA-VEZUVS 134:139
ALATAU-DORSETA 134:45
KUMPOTE-TAUNUSA 34:51
TRIESTE-MEMFISA 34:64
ATABASKA-ALTAJS 34:65
PLIMUTA-TAUNUSA 34:71
MAPUTU-LUGANSKA 34:72
PRIPETE-KAUNATA 34:82
ERFURTE-TAUNUSA 35:100
LAPLATA-VORKUTA 35:11
UTREHTA-KUTAISI 35:13
TAUNUSA-ENGELSA 35:23
KANZASA-TUKUMS 135:3
MACESTA-TUKUMS 135:37
ERFURTE-EIFRATA 35:46
TORONTO-TARENTO 35:6
ANGARSKA-VENERS 35:65
KUMPOTE-ALTAJS 135:65
PRIPETE-DORSETA 35:70
TBILISI-SANHOSE 35:70
TBILISI-SASEKSA 35:83
ARARATS-ATLANTA 35:88
SALANTA-ELBRUSS 35:98
VORKUTA-ENGELSA 36:120
SANHOSE-TUKUMS 136:123
MAPUTU-KINROSA 136:143
ERFURTE-BEIRUTA 36:35
PLIMUTA-ENGELSA 36:4
VALLETA-MEMFISA 36:42
BELFASTA-TUKUMS 36:44
PLIMUTA-ELBRUSS 37:1
BIZERTA-MACESTA 37:134
ANGARSKA-TUKUMS 37:138
SALANTA-BEIRUTA 37:41
ALATAU-TORONTO 137:55
MAPUTU-AIZPUTE 137:66
TOLJATI-KUVEITA 38:103
PLIMUTA-DONBASS 38:103
AIZPUTE-KUVEITA 38:104
EIFRATA-VEZUVS 138:113
ARARATS-TORONTO 38:140
ELBRUSS-TEKSASA 38:147
KAUNATA-ELBRUSS 38:63
AIZPUTE-DONBASS 38:65
PEIPUSS-TUKUMS 139:30
KINROSA-LIZUMS 139:46
KARPATI-ALTAJS 139:52
TEKSASA-ALTAJS 139:52
KALKUTA-DONBASS 39:59
TARENTO-ALTAJS 139:83
ALAUKSTS-VEZUVS 39:97
BIZERTA-ELBRUSS 39:99
MADRASA-LIZUMS 94:102
TOLJATI-ALTAJS 44:105
AIZPUTE-LIZUMS 74:106
DONBASS-TUKUMS 74:106
VORKUTA-VENERS 54:118
NUKUSU-DONBASS 54:120
ELBRUSS-TUKUMS 94:123
DONBASS-VENERS 14:133
MAPUTU-TARENTO 44:134
MACESTA-ALTAJS 94:14
MADRASA-VEZUVS 74:150
KAUNATA-ALTAJS 94:150
MAPUTU-BEIRUTA 14:20
BEBRUSI-VEZUVS 64:3
SASEKSA-ALTAJS 64:34
NUKUSU-KANZASA 64:38
KUVEITA-SASEKSA 4:39
LUGANSKA-LIZUMS 4:39
DUBULTI-TUKUMS 34:42
KALKUTA-MADRASA 4:48
NUKUSU-DORSETA 84:50
ERFURTE-VENERS 84:50
NUKUSU-DUBULTI 64:62
VAINUTA-VEZUVS 14:64
PEIPUSS-ALTAJS 74:71
NUKUSU-PLIMUTA 94:81
TORONTO-SASEKSA 4:84
ARARATS-TUKUMS 24:88
ENGELSA-TUKUMS 14:92
MAPUTU-VORKUTA 44:92
LAPLATA-MADRASA 4:93
ARARATS-MANAUSA 40:0
UTREHTA-KINROSA 40:11
KAUNATA-KUTAISI 40:13
SANHOSE-VENERS 140:139
ATLANTA-TUKUMS 140:22
KARPATI-BEBRUSI 40:48
KAHOVSKA-TUKUMS 41:11
VORKUTA-TBILISI 41:118
ALATAU-SASEKSA 141:142
KARPATI-MADRASA 41:2
MANAUSA-VEZUVS 141:21
ARARATS-LAPLATA 41:33
KUVEITA-EIFRATA 41:36
SALANTA-KINROSA 41:99
KUVEITA-DORSETA 42:108
NUKUSU-KIROVSKA 42:125
KANZASA-LIZUMS 142:2
ALATAU-VAINUTA 142:27
DORSETA-SASEKSA 42:31
TARENTO-MANAUSA 42:48
PRIPETE-TBILISI 42:73
TBILISI-ENGELSA 42:80
ALATAU-LUGANSKA 42:92
HOLIVUDA-ALTAJS 43:12
KUTAISI-SASEKSA 43:147
ELBRUSS-MANAUSA 43:35
ALATAU-MANAUSA 143:38
KUMPOTE-BEBRUSI 43:54
DONBASS-BEBRUSI 43:59
KRAKATAU-TUKUMS 43:61
ARARATS-VENERS 143:98
KUVEITA-SANHOSE 44:131
PRIPETE-VAINUTA 44:29
TOLJATI-KUZBASS 44:4
ERFURTE-PLIMUTA 44:60
KALKUTA-TBILISI 45:100
DORSETA-MANAUSA 45:130
BIZERTA-LAPLATA 45:132
TORONTO-ELBRUSS 45:141
ARARATS-DORSETA 45:60
UTREHTA-MEMFISA 45:63
ARARATS-LIZUMS 145:7
ATLANTA-ENGELSA 45:94
ARARATS-DUBULTI 46:101
IRKUTSKA-ALTAJS 46:137
DUBULTI-LIZUMS 146:31
MEMFISA-TUKUMS 146:35
ALATAU-TBILISI 146:71
ELBRUSS-TAUNUSA 46:72
DONBASS-ALTAJS 146:86
SALANTA-SASEKSA 47:120
ATLANTA-VEZUVS 147:129
AIZPUTE-ERFURTE 47:149
VAINUTA-SASEKSA 47:40
TARENTO-KUVEITA 47:57
KALKUTA-VORKUTA 47:58
TOLJATI-TUKUMS 147:58
HOLIVUDA-VENERS 47:66
ATLANTA-DONBASS 47:70
MEMFISA-VENERS 147:70
TARENTO-KUTAISI 47:72
AIZPUTE-TUKUMS 148:119
SASEKSA-LIZUMS 148:12
EIFRATA-ENGELSA 48:128
LAPLATA-DONBASS 48:148
ARARATS-EIFRATA 48:16
UTREHTA-ATLANTA 48:33
PLIMUTA-SANHOSE 48:55
ATABASKA-LIZUMS 48:6
AIZPUTE-UTREHTA 48:80
BELFASTA-ALTAJS 48:96
SANHOSE-SASEKSA 48:98
LAPLATA-DORSETA 49:115
DUBULTI-VAINUTA 49:122
ALATAU-VADAKSTE 49:128
ERFURTE-ALTAJS 149:129
LAPLATA-LIZUMS 149:14
SALANTA-DONBASS 49:2
HOLIVUDA-NUKUSU 49:37
PEIPUSS-MEMFISA 49:41
BEBRUSI-SASEKSA 49:52
VORKUTA-SASEKSA 49:73
PRIPETE-TUKUMS 149:76
KALKUTA-MANAUSA 49:97
KALKUTA-LIZUMS 95:101
ATLANTA-ALTAJS 45:102
NUKUSU-BEBRUSI 25:106
NUKUSU-EIFRATA 95:106
ALATAU-PRIPETE 75:108
MACESTA-VENERS 65:119
PRIPETE-VENERS 65:123
UTREHTA-TUKUMS 45:128
PRIPETE-VEZUVS 45:13
MAPUTU-VALLETA 25:131
ALATAU-TEKSASA 55:143
NUKUSU-TEKSASA 95:148
TBILISI-VENERS 95:15
TOLJATI-VORKUTA 5:25
MAPUTU-KUVEITA 55:31
ARARATS-SASEKSA 5:38
PRIPETE-KUTAISI 5:45
KINROSA-TUKUMS 45:46
KUTAISI-TUKUMS 85:51
TAUNUSA-TUKUMS 35:53
LAPLATA-ENGELSA 5:58
NUKUSU-ARARATS 55:59
MAPUTU-MADRASA 25:74
MAPUTU-BEBRUSI 25:87
NUKUSU-AIZPUTE 35:89
ALATAU-ARARATS 45:9
VORKUTA-LIZUMS 75:98
KUVEITA-ATLANTA 50:101
ARARATS-MADRASA 50:112
PRIPETE-KUZBASS 50:141
ALATAU-TAUNUSA 150:141
ELBRUSS-KUZBASS 50:2
KAUNATA-TEKSASA 50:28
EIFRATA-BEIRUTA 50:44
TBILISI-MANAUSA 50:49
VAINUTA-ALTAJS 150:51
TBILISI-MEMFISA 50:57
EIFRATA-MACESTA 51:19
TRIESTE-DONBASS 51:37
MACESTA-DORSETA 51:42
PRIPETE-BEIRUTA 51:87
MANAUSA-KANZASA 51:99
AIZPUTE-TAUNUSA 52:1
TARENTO-AIZPUTE 52:133
ARARATS-MEMFISA 52:31
PRIPETE-TAUNUSA 52:55
DUBULTI-LAPLATA 52:64
PEIPUSS-KUTAISI 52:77
KUMPOTE-PLIMUTA 52:81
BIZERTA-KANZASA 52:83
KUVEITA-ENGELSA 53:113
ARARATS-KALKUTA 53:20
LAPLATA-MEMFISA 53:30
DORSETA-KUTAISI 53:37
KALKUTA-ENGELSA 53:49
ARARATS-KUVEITA 53:69
EIFRATA-SASEKSA 53:84
BIZERTA-MANAUSA 54:11
AIZPUTE-MEMFISA 54:15
TRIESTE-BEIRUTA 54:16
AIZPUTE-KAUNATA 54:2
TORONTO-UTREHTA 54:51
BIZERTA-TBILISI 54:53
SALANTA-KANZASA 55:102
ARARATS-SANHOSE 55:114
TRIESTE-UTREHTA 55:114
TARENTO-BEIRUTA 55:136
TORONTO-TAUNUSA 55:149
SASEKSA-ENGELSA 55:24
KUMPOTE-BIZERTA 55:48
ARARATS-KANZASA 55:50
PRIPETE-ELBRUSS 55:81
KAUNATA-DORSETA 56:100
EVERESTS-LIZUMS 56:121
AIZPUTE-TBILISI 56:14
TARENTO-KUZBASS 56:143
VADAKSTE-VENERS 56:16
VAGADUGU-ALTAJS 56:26
BEIRUTA-ENGELSA 56:47
ERFURTE-DORSETA 56:58
AIZPUTE-MANAUSA 56:63
NUKUSU-SOVETSKA 56:71
AIZPUTE-TRIESTE 56:72
TRIESTE-KANZASA 56:76
UTREHTA-BEBRUSI 57:108
DUBULTI-MANAUSA 57:129
TARENTO-DONBASS 57:145
DUBULTI-ATLANTA 57:47
ATLANTA-MEMFISA 58:113
PRIPETE-ATLANTA 58:134
TOLJATI-MANAUSA 58:147
BELFASTA-VENERS 58:19
PLIMUTA-SASEKSA 58:87
DORSETA-ELBRUSS 58:87
VAGADUGU-VENERS 58:92
UTREHTA-DONBASS 58:94
BEBRUSI-ENGELSA 59:105
MEMFISA-ENGELSA 59:111
BIZERTA-ENGELSA 59:119
TOLJATI-TAUNUSA 59:119
BEIRUTA-MADRASA 59:122
JAKUTSKA-VEZUVS 59:126
PLIMUTA-SALANTA 59:149
MAPUTU-VAINUTA 86:1
MADRASA-ALTAJS 16:1
NUKUSU-VEZUVS 146:107
KARPATI-VENERS 56:111
VALLETA-KAUNATA 6:120
DUBULTI-ELBRUSS 6:122
ENGELSA-LIZUMS 46:138
UTREHTA-LIZUMS 36:149
VALLETA-EIFRATA 6:16
SANHOSE-VEZUVS 16:18
VALLETA-VENERS 56:20
KUVEITA-DONBASS 6:3
KINROSA-VEZUVS 66:34
TORONTO-LIZUMS 56:36
TOLJATI-VEZUVS 26:4
TOLJATI-SALANTA 6:52
MAPUTU-TORONTO 16:53
EIFRATA-KUTAISI 6:56
SALANTA-VENERS 66:58
BIZERTA-ALTAJS 96:59
TRIESTE-LIZUMS 66:61
MAPUTU-SALANTA 86:61
ALATAU-ATLANTA 66:68
TEKSASA-TUKUMS 16:70
ALATAU-MADRASA 66:8
MAPUTU-KANZASA 76:89
VORKUTA-VEZUVS 76:91
KALKUTA-TUKUMS 66:92
KARPATI-TUKUMS 86:97
PRIPETE-LIZUMS 66:97
SALANTA-ALTAJS 96:99
KARPATI-SANHOSE 60:14
TORONTO-DORSETA 60:24
KUVEITA-MANAUSA 60:44
AIZPUTE-PLIMUTA 60:48
ARARATS-AIZPUTE 60:78
KUTAISI-SANHOSE 61:124
LAPLATA-KALKUTA 61:140
KARPATI-KUZBASS 61:63
VORKUTA-KUTAISI 61:63
ERFURTE-VORKUTA 61:68
TOLJATI-DUBULTI 61:90
KUMPOTE-KANZASA 61:93
JAKUTSKA-LIZUMS 62:107
DUBULTI-MEMFISA 62:113
ATABASKA-VENERS 62:20
ARARATS-TEKSASA 62:5
MEMFISA-TAUNUSA 62:68
BIZERTA-KAUNATA 63:101
SANHOSE-MANAUSA 63:115
EIFRATA-TBILISI 63:116
ALAUKSTS-LIZUMS 63:121
KUVEITA-LAPLATA 63:126
UTREHTA-ELBRUSS 63:15
AIZPUTE-KUMPOTE 63:31
ATLANTA-KINROSA 63:56
KARPATI-KALKUTA 63:6
KUZBASS-KUTAISI 63:66
KUMPOTE-MANAUSA 63:70
KAHOVSKA-ALTAJS 63:71
TARENTO-ATLANTA 64:101
TARENTO-MADRASA 64:110
KUZBASS-MANAUSA 64:70
LAPLATA-TAUNUSA 64:82
KARPATI-DONBASS 65:108
DUBULTI-ERFURTE 65:142
BEBRUSI-KINROSA 65:4
DUBULTI-KUZBASS 65:71
LAPLATA-VAINUTA 65:80
LAPLATA-PEIPUSS 65:95
KUVEITA-KANZASA 66:13
VAINUTA-BEBRUSI 66:19
KUZBASS-MEMFISA 66:56
KAHOVSKA-VEZUVS 66:78
VALLETA-VORKUTA 66:81
ERFURTE-BEBRUSI 66:92
TORONTO-ERFURTE 66:94
TOLJATI-BEIRUTA 67:115
VALLETA-PEIPUSS 67:31
EIFRATA-MEMFISA 67:38
AIZPUTE-KUZBASS 67:78
BEIRUTA-KUTAISI 68:1
TRIESTE-ATLANTA 68:114
KALKUTA-MEMFISA 68:115
EIFRATA-TAUNUSA 68:124
ARARATS-ELBRUSS 68:138
BIZERTA-BEIRUTA 68:14
DORSETA-SANHOSE 68:140
DUBULTI-KAUNATA 68:148
ATABASKA-VEZUVS 68:16
MACESTA-PEIPUSS 68:25
VADAKSTE-VEZUVS 68:31
TRIESTE-ELBRUSS 68:62
TARENTO-UTREHTA 68:65
VORKUTA-VAINUTA 68:69
MACESTA-KUZBASS 68:8
KUVEITA-ELBRUSS 68:98
KUVEITA-TAUNUSA 69:104
KARPATI-KUVEITA 69:136
TOLJATI-KANZASA 69:83
PRIPETE-VALLETA 69:97
PLIMUTA-ALTAJS 77:102
UTREHTA-VENERS 47:117
MAPUTU-KUTAISI 57:118
KARPATI-DORSETA 7:120
TORONTO-VENERS 37:125
AIZPUTE-TEKSASA 7:134
NUKUSU-TBILISI 37:134
VORKUTA-TUKUMS 17:14
BIZERTA-LIZUMS 47:142
TORONTO-EIFRATA 7:143
MAPUTU-ALATAU 127:143
NUKUSU-BIZERTA 47:144
BEIRUTA-ALTAJS 87:18
KUVEITA-KINROSA 7:25
KINROSA-ALTAJS 37:3
EIFRATA-VENERS 97:39
NUKUSU-VAINUTA 27:41
TBILISI-ALTAJS 57:45
KRAKATAU-ALTAJS 7:50
MADRASA-TUKUMS 17:53
SALANTA-LIZUMS 77:57
DORSETA-KINROSA 7:65
TRIESTE-VEZUVS 57:69
SASEKSA-VENERS 47:75
ALATAU-LAPLATA 77:78
MAPUTU-PLIMUTA 37:84
TOLJATI-LIZUMS 17:96
VAINUTA-MEMFISA 70:119
ELBRUSS-DONBASS 70:134
TARENTO-KARPATI 70:146
SANHOSE-KINROSA 70:44
PRIPETE-SASEKSA 70:72
KALKUTA-KUZBASS 70:78
KUZBASS-TBILISI 71:33
SARANSKA-VEZUVS 71:43
JAKUTSKA-VENERS 71:55
AIZPUTE-VALLETA 71:63
TORONTO-KANZASA 71:72
PRIPETE-KINROSA 71:79
PRIPETE-VORKUTA 72:102
DORSETA-KUZBASS 72:102
KUVEITA-TBILISI 72:112
ATLANTA-DORSETA 72:135
ALAUKSTS-TUKUMS 72:149
ERFURTE-SANHOSE 72:48
VAINUTA-KUTAISI 72:5
KUMPOTE-KAUNATA 72:50
DUBULTI-SANHOSE 72:7
UTREHTA-KANZASA 72:71
LAPLATA-TEKSASA 72:77
BIZERTA-EIFRATA 72:84
ALATAU-KRAKATAU 72:89
PLIMUTA-ATLANTA 72:90
KARPATI-VAINUTA 72:95
EIFRATA-TEKSASA 73:144
SASEKSA-MEMFISA 73:150
ARARATS-BEBRUSI 73:43
TORONTO-MADRASA 73:70
MAPUTU-KIROVSKA 73:87
TRIESTE-PEIPUSS 74:113
VORKUTA-DORSETA 74:140
TRIESTE-VORKUTA 74:15
TAUNUSA-MANAUSA 74:15
ALAUKSTS-VENERS 74:17
KAUNATA-BEBRUSI 74:5
MACESTA-SASEKSA 74:6
TOLJATI-KALKUTA 74:62
DONBASS-SASEKSA 75:19
BEBRUSI-KANZASA 75:20
ERFURTE-PRIPETE 75:40
KARPATI-VALLETA 75:7
PEIPUSS-MADRASA 75:98
MANAUSA-ENGELSA 76:123
TORONTO-TOLJATI 76:2
IRKUTSKA-VENERS 76:65
ENGELSA-TEKSASA 77:100
NEBRASKA-VENERS 77:103
KUVEITA-MADRASA 77:120
HOLIVUDA-ALATAU 77:150
TORONTO-KAUNATA 77:18
TARENTO-TOLJATI 77:22
MAPUTU-KAVARSKA 77:25
KUVEITA-UTREHTA 77:49
KUVEITA-KAUNATA 77:57
KAUNATA-DONBASS 77:58
AIZPUTE-MADRASA 77:75
ARARATS-MACESTA 77:81
VAINUTA-DONBASS 78:108
ALATAU-IRKUTSKA 78:109
DUBULTI-SALANTA 78:49
KAUNATA-VAINUTA 78:71
KUVEITA-SALANTA 78:97
TOLJATI-TBILISI 79:114
MANAUSA-KINROSA 79:32
VAGADUGU-NUKUSU 79:36
KARPATI-TEKSASA 79:42
TOLJATI-UTREHTA 79:5
TOLJATI-TRIESTE 79:65
TRIESTE-ENGELSA 79:66
ALATAU-KAVARSKA 79:68
VORKUTA-TAUNUSA 79:82
KUTAISI-MADRASA 79:88
TORONTO-VALLETA 79:91
BEIRUTA-TEKSASA 8:104
KUMPOTE-EIFRATA 8:104
NUKUSU-VALLETA 88:105
KARPATI-VEZUVS 28:11
LAPLATA-SANHOSE 8:112
PLIMUTA-LIZUMS 78:122
KUVEITA-VEZUVS 88:123
MAPUTU-ERFURTE 78:124
TARENTO-TRIESTE 8:125
BEBRUSI-ALTAJS 28:136
MAPUTU-ATLANTA 88:15
KAUNATA-MACESTA 8:31
MAPUTU-DUBULTI 18:31
ALATAU-SALANTA 98:33
DONBASS-SANHOSE 8:41
ALATAU-DUBULTI 98:49
ALATAU-UTREHTA 18:56
PLIMUTA-TUKUMS 78:56
NUKUSU-VORKUTA 38:65
NUKUSU-TORONTO 48:71
BRJANSKA-TUKUMS 8:73
TAUNUSA-ALTAJS 18:74
LAPLATA-KUZBASS 8:74
MEMFISA-LIZUMS 28:78
BEBRUSI-KUTAISI 8:79
MAPUTU-MEMFISA 48:79
MAPUTU-ENGELSA 78:85
LUGANSKA-VENERS 8:9
TARENTO-VENERS 18:91
MANAUSA-ALTAJS 38:93
ALATAU-ALTAJS 148:96
MACESTA-MADRASA 80:124
TORONTO-ENGELSA 80:44
UTREHTA-LAPLATA 80:64
ELBRUSS-KANZASA 80:78
ERFURTE-MANAUSA 81:103
TORONTO-DUBULTI 81:121
KUMPOTE-MACESTA 81:37
ATLANTA-KAUNATA 81:6
ATABASKA-TUKUMS 81:67
TORONTO-ATLANTA 81:80
KUMPOTE-ATLANTA 82:100
PRIPETE-ENGELSA 82:113
LAPLATA-ELBRUSS 82:118
KAHOVSKA-VENERS 82:136
TEKSASA-MADRASA 82:40
TAUNUSA-KANZASA 82:41
ATLANTA-TEKSASA 82:49
SALANTA-KALKUTA 82:6
PLIMUTA-KANZASA 82:76
KUMPOTE-KUTAISI 82:86
ERFURTE-MADRASA 83:100
ATLANTA-EIFRATA 83:112
JAKUTSKA-TUKUMS 83:123
KALKUTA-PEIPUSS 83:13
TRIESTE-KUVEITA 83:21
PEIPUSS-TBILISI 83:41
NUKUSU-ANGARSKA 83:42
KUMPOTE-ERFURTE 83:8
DORSETA-BEBRUSI 83:88
NUKUSU-NEBRASKA 84:100
KUTAISI-MEMFISA 84:121
KARPATI-KANZASA 84:140
TRIESTE-PRIPETE 84:52
LAPLATA-TBILISI 84:60
AIZPUTE-SANHOSE 84:77
TARENTO-VAINUTA 84:8
ALATAU-EVERESTS 84:88
MACESTA-KANZASA 84:88
TOLJATI-ELBRUSS 84:90
TOLJATI-MACESTA 84:97
VALLETA-VAINUTA 85:105
KAUNATA-MADRASA 85:114
KARPATI-SALANTA 85:26
ERFURTE-ELBRUSS 85:28
DUBULTI-BEBRUSI 85:62
DORSETA-TBILISI 86:119
MAPUTU-KRAKATAU 86:140
PRIPETE-SALANTA 86:46
BEBRUSI-MADRASA 87:100
UTREHTA-DORSETA 87:113
KARPATI-PRIPETE 87:146
